valid,1

"SPEC CPU2017 Integer Speed Result"

"Full Results Table"

Benchmark,"Base # Threads","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Threads","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
600.perlbench_s,4,357.0224694,4.9716759,1,S,,,,,,"refspeed(ref) iteration #1"
600.perlbench_s,4,346.4132713,5.1239376,0,S,,,,,,"refspeed(ref) iteration #2"
602.gcc_s,4,515.8893324,7.7187097,1,S,,,,,,"refspeed(ref) iteration #1"
602.gcc_s,4,502.6197247,7.9224905,0,S,,,,,,"refspeed(ref) iteration #2"
605.mcf_s,4,584.7163433,8.0740004,1,S,,,,,,"refspeed(ref) iteration #1"
605.mcf_s,4,582.5462793,8.1040772,0,S,,,,,,"refspeed(ref) iteration #2"
620.omnetpp_s,4,486.1350164,3.355035,1,S,,,,,,"refspeed(ref) iteration #1"
620.omnetpp_s,4,484.5512243,3.3660012,0,S,,,,,,"refspeed(ref) iteration #2"
623.xalancbmk_s,4,241.8846488,5.8581642,1,S,,,,,,"refspeed(ref) iteration #1"
623.xalancbmk_s,4,240.0040205,5.9040678,0,S,,,,,,"refspeed(ref) iteration #2"
625.x264_s,4,223.15643,7.9047689,0,S,,,,,,"refspeed(ref) iteration #1"
625.x264_s,4,223.4905438,7.8929514,1,S,,,,,,"refspeed(ref) iteration #2"
631.deepsjeng_s,4,352.9761667,4.0597642,0,S,,,,,,"refspeed(ref) iteration #1"
631.deepsjeng_s,4,357.1343454,4.0124956,1,S,,,,,,"refspeed(ref) iteration #2"
641.leela_s,4,486.31683,3.5080012,0,S,,,,,,"refspeed(ref) iteration #1"
641.leela_s,4,491.6841424,3.4697072,1,S,,,,,,"refspeed(ref) iteration #2"
648.exchange2_s,4,321.8591062,9.1344316,0,S,,,,,,"refspeed(ref) iteration #1"
648.exchange2_s,4,322.4365993,9.1180716,1,S,,,,,,"refspeed(ref) iteration #2"
657.xz_s,4,929.3305937,6.6521,0,S,,,,,,"refspeed(ref) iteration #1"
657.xz_s,4,954.6767802,6.4754901,1,S,,,,,,"refspeed(ref) iteration #2"

"Selected Results Table"

Benchmark,"Base # Threads","Base Run Time","Base Ratio","Base Selected","Base Status","Peak # Threads","Peak Run Time","Peak Ratio","Peak Selected","Peak Status",Description
600.perlbench_s,4,357.0224694,4.9716759,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
602.gcc_s,4,515.8893324,7.7187097,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
605.mcf_s,4,584.7163433,8.0740004,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
620.omnetpp_s,4,486.1350164,3.355035,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
623.xalancbmk_s,4,241.8846488,5.8581642,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
625.x264_s,4,223.4905438,7.8929514,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
631.deepsjeng_s,4,357.1343454,4.0124956,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
641.leela_s,4,491.6841424,3.4697072,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
648.exchange2_s,4,322.4365993,9.1180716,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
657.xz_s,4,954.6767802,6.4754901,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"

SPECspeed2017_int_base,5.7500515,,5.7500515
SPECspeed2017_int_peak,"Not Run",,,,,,,"Not Run"

"Run number:",055
"runcpu command:","C:\cpu2017\bin\harness\runcpu -c teste1-VisualStudio-windows.cfg --reportable --copies=10 intspeed"
"output root:","not used"

"Hardware Vendor:","My Corporation"
