PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000001D8 [FEF41723] X14=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-18(s0/fp)
PC=000001DC [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=000001E0 [FEF41623] X12=00000000 X08=00500000 X15=00000001 sh      a5,-20(s0/fp)
PC=000001E4 [FEE41703] X14=0000FFFF X08=00500000 X14=00000000 lh      a4,-18(s0/fp)
PC=000001E8 [FEC41783] X15=00000001 X08=00500000 X12=00000000 lh      a5,-20(s0/fp)
PC=000001EC [02F747B3] X15=0000FFFF X14=0000FFFF X15=00000001 div     a5,a4,a5
PC=000001F0 [FEF41523] X10=00000000 X08=00500000 X15=0000FFFF sh      a5,-22(s0/fp)
PC=000001F4 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=000001F8 [00F00793] X15=0000000F X00=00000000 X15=0000FFFF addi    a5,zero,15
PC=000001FC [FEF41723] X14=0000FFFF X08=00500000 X15=0000000F sh      a5,-18(s0/fp)
PC=00000200 [00300793] X15=00000003 X00=00000000 X03=00000000 addi    a5,zero,3
PC=00000204 [FEF41623] X12=00000000 X08=00500000 X15=00000003 sh      a5,-20(s0/fp)
PC=00000208 [FEE41703] X14=0000000F X08=00500000 X14=0000FFFF lh      a4,-18(s0/fp)
PC=0000020C [FEC41783] X15=00000003 X08=00500000 X12=00000000 lh      a5,-20(s0/fp)
PC=00000210 [02F747B3] X15=00000005 X14=0000000F X15=00000003 div     a5,a4,a5
PC=00000214 [FEF41523] X10=00000000 X08=00500000 X15=00000005 sh      a5,-22(s0/fp)
PC=00000218 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=0000021C [FFFFB7B7] X15=FFFFB000 X31=00000000 X31=00000000 lui     a5,4294946816
PC=00000220 [AAA78793] X15=FFFFAAAA X15=FFFFB000 X10=00000000 addi    a5,a5,-1366
PC=00000224 [FEF41723] X14=0000000F X08=00500000 X15=FFFFAAAA sh      a5,-18(s0/fp)
PC=00000228 [000057B7] X15=00005000 X00=00000000 X00=00000000 lui     a5,20480
PC=0000022C [55578793] X15=00005555 X15=00005000 X21=00000000 addi    a5,a5,1365
PC=00000230 [FEF41623] X12=00000000 X08=00500000 X15=00005555 sh      a5,-20(s0/fp)
PC=00000234 [FEE41703] X14=0000AAAA X08=00500000 X14=0000000F lh      a4,-18(s0/fp)
PC=00000238 [FEC41783] X15=00005555 X08=00500000 X12=00000000 lh      a5,-20(s0/fp)
PC=0000023C [02F747B3] X15=00000002 X14=0000AAAA X15=00005555 div     a5,a4,a5
PC=00000240 [FEF41523] X10=00000000 X08=00500000 X15=00000002 sh      a5,-22(s0/fp)
PC=00000244 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=00000248 [FFFF87B7] X15=FFFF8000 X31=00000000 X31=00000000 lui     a5,4294934528
PC=0000024C [FFF7C793] X15=00007FFF X15=FFFF8000 X31=00000000 xori    a5,a5,-1
PC=00000250 [FEF41723] X14=0000AAAA X08=00500000 X15=00007FFF sh      a5,-18(s0/fp)
PC=00000254 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000258 [FEF41623] X12=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-20(s0/fp)
PC=0000025C [FEE41703] X14=00007FFF X08=00500000 X14=0000AAAA lh      a4,-18(s0/fp)
PC=00000260 [FEC41783] X15=0000FFFF X08=00500000 X12=00000000 lh      a5,-20(s0/fp)
PC=00000264 [02F747B3] X15=00000000 X14=00007FFF X15=0000FFFF div     a5,a4,a5
PC=00000268 [FEF41523] X10=00000000 X08=00500000 X15=00000000 sh      a5,-22(s0/fp)
PC=0000026C [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=00000270 [FE041723] X14=00007FFF X08=00500000 X00=00000000 sh      zero,-18(s0/fp)
PC=00000274 [FFFF87B7] X15=FFFF8000 X31=00000000 X31=00000000 lui     a5,4294934528
PC=00000278 [FEF41623] X12=00000000 X08=00500000 X15=FFFF8000 sh      a5,-20(s0/fp)
PC=0000027C [FEE41703] X14=00000000 X08=00500000 X14=00007FFF lh      a4,-18(s0/fp)
PC=00000280 [FEC41783] X15=00008000 X08=00500000 X12=00000000 lh      a5,-20(s0/fp)
PC=00000284 [02F747B3] X15=00000000 X14=00000000 X15=00008000 div     a5,a4,a5
PC=00000288 [FEF41523] X10=00000000 X08=00500000 X15=00000000 sh      a5,-22(s0/fp)
PC=0000028C [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=00000290 [03000793] X15=00000030 X00=00000000 X16=00000000 addi    a5,zero,48
PC=00000294 [FEF41723] X14=00000000 X08=00500000 X15=00000030 sh      a5,-18(s0/fp)
PC=00000298 [00500793] X15=00000005 X00=00000000 X05=00000000 addi    a5,zero,5
PC=0000029C [FEF41623] X12=00000000 X08=00500000 X15=00000005 sh      a5,-20(s0/fp)
PC=000002A0 [FEE41703] X14=00000030 X08=00500000 X14=00000000 lh      a4,-18(s0/fp)
PC=000002A4 [FEC41783] X15=00000005 X08=00500000 X12=00000000 lh      a5,-20(s0/fp)
PC=000002A8 [02F747B3] X15=00000009 X14=00000030 X15=00000005 div     a5,a4,a5
PC=000002AC [FEF41523] X10=00000000 X08=00500000 X15=00000009 sh      a5,-22(s0/fp)
PC=000002B0 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=000002B4 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000002B8 [FEF41723] X14=00000030 X08=00500000 X15=FFFFFFFF sh      a5,-18(s0/fp)
PC=000002BC [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000002C0 [FEF41623] X12=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-20(s0/fp)
PC=000002C4 [FEE41703] X14=0000FFFF X08=00500000 X14=00000030 lh      a4,-18(s0/fp)
PC=000002C8 [FEC41783] X15=0000FFFF X08=00500000 X12=00000000 lh      a5,-20(s0/fp)
PC=000002CC [02F747B3] X15=00000001 X14=0000FFFF X15=0000FFFF div     a5,a4,a5
PC=000002D0 [FEF41523] X10=00000000 X08=00500000 X15=00000001 sh      a5,-22(s0/fp)
PC=000002D4 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=000002D8 [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=000002DC [FEF41723] X14=0000FFFF X08=00500000 X15=FFFFFFFE sh      a5,-18(s0/fp)
PC=000002E0 [01000793] X15=00000010 X00=00000000 X16=00000000 addi    a5,zero,16
PC=000002E4 [FEF41623] X12=00000000 X08=00500000 X15=00000010 sh      a5,-20(s0/fp)
