PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=00000280 [FEF40323] X06=00000000 X08=00500000 X15=00000002 sb      a5,-26(s0/fp)
PC=00000284 [FE640703] X14=00000002 X08=00500000 X06=00000000 lb      a4,-26(s0/fp)
PC=00000288 [00400793] X15=00000004 X00=00000000 X04=00000000 addi    a5,zero,4
PC=00000240 [FAE7DAE3] X21=00000000 X15=00000004 X14=00000002 bge     a5,a4,-76
PC=00000240 [FE842603] X12=00000007 X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=00000244 [FEC42683] X13=00000000 X08=00500000 X12=00000007 lw      a3,-20(s0/fp)
PC=00000248 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=0000024C [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=00000250 [00A60733] X14=00000008 X12=00000007 X10=00000001 add     a4,a2,a0
PC=00000254 [00070813] X16=00000008 X14=00000008 X00=00000000 addi    a6,a4,0
PC=00000258 [00C83833] X16=00000000 X16=00000008 X12=00000007 sltu    a6,a6,a2
PC=0000025C [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=00000260 [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=00000264 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=00000268 [FEE42423] X08=00500000 X08=00500000 X14=00000008 sw      a4,-24(s0/fp)
PC=0000026C [FEF42623] X12=00000007 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=00000270 [FE640783] X15=00000002 X08=00500000 X06=00000000 lb      a5,-26(s0/fp)
PC=00000274 [0FF7F793] X15=00000002 X15=00000002 X31=00000000 andi    a5,a5,255
PC=00000278 [00178793] X15=00000003 X15=00000002 X01=000001C0 addi    a5,a5,1
PC=0000027C [0FF7F793] X15=00000003 X15=00000003 X31=00000000 andi    a5,a5,255
PC=00000280 [FEF40323] X06=00000000 X08=00500000 X15=00000003 sb      a5,-26(s0/fp)
PC=00000284 [FE640703] X14=00000003 X08=00500000 X06=00000000 lb      a4,-26(s0/fp)
PC=00000288 [00400793] X15=00000004 X00=00000000 X04=00000000 addi    a5,zero,4
PC=00000240 [FAE7DAE3] X21=00000000 X15=00000004 X14=00000003 bge     a5,a4,-76
PC=00000240 [FE842603] X12=00000008 X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=00000244 [FEC42683] X13=00000000 X08=00500000 X12=00000008 lw      a3,-20(s0/fp)
PC=00000248 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=0000024C [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=00000250 [00A60733] X14=00000009 X12=00000008 X10=00000001 add     a4,a2,a0
PC=00000254 [00070813] X16=00000009 X14=00000009 X00=00000000 addi    a6,a4,0
PC=00000258 [00C83833] X16=00000000 X16=00000009 X12=00000008 sltu    a6,a6,a2
PC=0000025C [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=00000260 [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=00000264 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=00000268 [FEE42423] X08=00500000 X08=00500000 X14=00000009 sw      a4,-24(s0/fp)
PC=0000026C [FEF42623] X12=00000008 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=00000270 [FE640783] X15=00000003 X08=00500000 X06=00000000 lb      a5,-26(s0/fp)
PC=00000274 [0FF7F793] X15=00000003 X15=00000003 X31=00000000 andi    a5,a5,255
PC=00000278 [00178793] X15=00000004 X15=00000003 X01=000001C0 addi    a5,a5,1
PC=0000027C [0FF7F793] X15=00000004 X15=00000004 X31=00000000 andi    a5,a5,255
PC=00000280 [FEF40323] X06=00000000 X08=00500000 X15=00000004 sb      a5,-26(s0/fp)
PC=00000284 [FE640703] X14=00000004 X08=00500000 X06=00000000 lb      a4,-26(s0/fp)
PC=00000288 [00400793] X15=00000004 X00=00000000 X04=00000000 addi    a5,zero,4
PC=00000240 [FAE7DAE3] X21=00000000 X15=00000004 X14=00000004 bge     a5,a4,-76
PC=00000240 [FE842603] X12=00000009 X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=00000244 [FEC42683] X13=00000000 X08=00500000 X12=00000009 lw      a3,-20(s0/fp)
PC=00000248 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=0000024C [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=00000250 [00A60733] X14=0000000A X12=00000009 X10=00000001 add     a4,a2,a0
PC=00000254 [00070813] X16=0000000A X14=0000000A X00=00000000 addi    a6,a4,0
PC=00000258 [00C83833] X16=00000000 X16=0000000A X12=00000009 sltu    a6,a6,a2
PC=0000025C [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=00000260 [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=00000264 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=00000268 [FEE42423] X08=00500000 X08=00500000 X14=0000000A sw      a4,-24(s0/fp)
PC=0000026C [FEF42623] X12=00000009 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=00000270 [FE640783] X15=00000004 X08=00500000 X06=00000000 lb      a5,-26(s0/fp)
PC=00000274 [0FF7F793] X15=00000004 X15=00000004 X31=00000000 andi    a5,a5,255
PC=00000278 [00178793] X15=00000005 X15=00000004 X01=000001C0 addi    a5,a5,1
PC=0000027C [0FF7F793] X15=00000005 X15=00000005 X31=00000000 andi    a5,a5,255
PC=00000280 [FEF40323] X06=00000000 X08=00500000 X15=00000005 sb      a5,-26(s0/fp)
PC=00000284 [FE640703] X14=00000005 X08=00500000 X06=00000000 lb      a4,-26(s0/fp)
PC=00000288 [00400793] X15=00000004 X00=00000000 X04=00000000 addi    a5,zero,4
PC=00000290 [FAE7DAE3] X21=00000000 X15=00000004 X14=00000005 bge     a5,a4,-76
PC=00000290 [FE040323] X06=00000000 X08=00500000 X00=00000000 sb      zero,-26(s0/fp)
PC=00000294 [FE041223] X04=00000000 X08=00500000 X00=00000000 sh      zero,-28(s0/fp)
PC=00000298 [0400006F] X00=00000000 X00=00000000 X00=00000000 jal     zero,64
PC=000002D8 [FE445703] X14=00000000 X08=00500000 X04=00000000 lhu     a4,-28(s0/fp)
PC=000002DC [00400793] X15=00000004 X00=00000000 X04=00000000 addi    a5,zero,4
PC=0000029C [FAE7FEE3] X29=00000000 X15=00000004 X14=00000000 bgeu    a5,a4,-68
PC=0000029C [FE842603] X12=0000000A X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=000002A0 [FEC42683] X13=00000000 X08=00500000 X12=0000000A lw      a3,-20(s0/fp)
PC=000002A4 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=000002A8 [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=000002AC [00A60733] X14=0000000B X12=0000000A X10=00000001 add     a4,a2,a0
PC=000002B0 [00070813] X16=0000000B X14=0000000B X00=00000000 addi    a6,a4,0
PC=000002B4 [00C83833] X16=00000000 X16=0000000B X12=0000000A sltu    a6,a6,a2
PC=000002B8 [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=000002BC [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=000002C0 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=000002C4 [FEE42423] X08=00500000 X08=00500000 X14=0000000B sw      a4,-24(s0/fp)
PC=000002C8 [FEF42623] X12=0000000A X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=000002CC [FE445783] X15=00000000 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=000002D0 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=000002D4 [FEF41223] X04=00000000 X08=00500000 X15=00000001 sh      a5,-28(s0/fp)
PC=000002D8 [FE445703] X14=00000001 X08=00500000 X04=00000000 lhu     a4,-28(s0/fp)
PC=000002DC [00400793] X15=00000004 X00=00000000 X04=00000000 addi    a5,zero,4
PC=0000029C [FAE7FEE3] X29=00000000 X15=00000004 X14=00000001 bgeu    a5,a4,-68
PC=0000029C [FE842603] X12=0000000B X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=000002A0 [FEC42683] X13=00000000 X08=00500000 X12=0000000B lw      a3,-20(s0/fp)
PC=000002A4 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=000002A8 [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=000002AC [00A60733] X14=0000000C X12=0000000B X10=00000001 add     a4,a2,a0
PC=000002B0 [00070813] X16=0000000C X14=0000000C X00=00000000 addi    a6,a4,0
PC=000002B4 [00C83833] X16=00000000 X16=0000000C X12=0000000B sltu    a6,a6,a2
PC=000002B8 [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=000002BC [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=000002C0 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=000002C4 [FEE42423] X08=00500000 X08=00500000 X14=0000000C sw      a4,-24(s0/fp)
PC=000002C8 [FEF42623] X12=0000000B X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=000002CC [FE445783] X15=00000001 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=000002D0 [00178793] X15=00000002 X15=00000001 X01=000001C0 addi    a5,a5,1
PC=000002D4 [FEF41223] X04=00000000 X08=00500000 X15=00000002 sh      a5,-28(s0/fp)
PC=000002D8 [FE445703] X14=00000002 X08=00500000 X04=00000000 lhu     a4,-28(s0/fp)
PC=000002DC [00400793] X15=00000004 X00=00000000 X04=00000000 addi    a5,zero,4
PC=0000029C [FAE7FEE3] X29=00000000 X15=00000004 X14=00000002 bgeu    a5,a4,-68
PC=0000029C [FE842603] X12=0000000C X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=000002A0 [FEC42683] X13=00000000 X08=00500000 X12=0000000C lw      a3,-20(s0/fp)
PC=000002A4 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=000002A8 [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=000002AC [00A60733] X14=0000000D X12=0000000C X10=00000001 add     a4,a2,a0
PC=000002B0 [00070813] X16=0000000D X14=0000000D X00=00000000 addi    a6,a4,0
PC=000002B4 [00C83833] X16=00000000 X16=0000000D X12=0000000C sltu    a6,a6,a2
PC=000002B8 [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=000002BC [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=000002C0 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=000002C4 [FEE42423] X08=00500000 X08=00500000 X14=0000000D sw      a4,-24(s0/fp)
PC=000002C8 [FEF42623] X12=0000000C X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=000002CC [FE445783] X15=00000002 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=000002D0 [00178793] X15=00000003 X15=00000002 X01=000001C0 addi    a5,a5,1
PC=000002D4 [FEF41223] X04=00000000 X08=00500000 X15=00000003 sh      a5,-28(s0/fp)
PC=000002D8 [FE445703] X14=00000003 X08=00500000 X04=00000000 lhu     a4,-28(s0/fp)
PC=000002DC [00400793] X15=00000004 X00=00000000 X04=00000000 addi    a5,zero,4
PC=0000029C [FAE7FEE3] X29=00000000 X15=00000004 X14=00000003 bgeu    a5,a4,-68
PC=0000029C [FE842603] X12=0000000D X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=000002A0 [FEC42683] X13=00000000 X08=00500000 X12=0000000D lw      a3,-20(s0/fp)
PC=000002A4 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
PC=000002A8 [00000593] X11=00000000 X00=00000000 X00=00000000 addi    a1,zero,0
PC=000002AC [00A60733] X14=0000000E X12=0000000D X10=00000001 add     a4,a2,a0
PC=000002B0 [00070813] X16=0000000E X14=0000000E X00=00000000 addi    a6,a4,0
PC=000002B4 [00C83833] X16=00000000 X16=0000000E X12=0000000D sltu    a6,a6,a2
PC=000002B8 [00B687B3] X15=00000000 X13=00000000 X11=00000000 add     a5,a3,a1
PC=000002BC [00F806B3] X13=00000000 X16=00000000 X15=00000000 add     a3,a6,a5
PC=000002C0 [00068793] X15=00000000 X13=00000000 X00=00000000 addi    a5,a3,0
PC=000002C4 [FEE42423] X08=00500000 X08=00500000 X14=0000000E sw      a4,-24(s0/fp)
PC=000002C8 [FEF42623] X12=0000000D X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=000002CC [FE445783] X15=00000003 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=000002D0 [00178793] X15=00000004 X15=00000003 X01=000001C0 addi    a5,a5,1
PC=000002D4 [FEF41223] X04=00000000 X08=00500000 X15=00000004 sh      a5,-28(s0/fp)
PC=000002D8 [FE445703] X14=00000004 X08=00500000 X04=00000000 lhu     a4,-28(s0/fp)
PC=000002DC [00400793] X15=00000004 X00=00000000 X04=00000000 addi    a5,zero,4
PC=0000029C [FAE7FEE3] X29=00000000 X15=00000004 X14=00000004 bgeu    a5,a4,-68
PC=0000029C [FE842603] X12=0000000E X08=00500000 X08=00500000 lw      a2,-24(s0/fp)
PC=000002A0 [FEC42683] X13=00000000 X08=00500000 X12=0000000E lw      a3,-20(s0/fp)
PC=000002A4 [00100513] X10=00000001 X00=00000000 X01=000001C0 addi    a0,zero,1
