PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000001D8 [FEF407A3] X15=FFFFFFFF X08=00500000 X15=FFFFFFFF sb      a5,-17(s0/fp)
PC=000001DC [FEF44783] X15=000000FF X08=00500000 X15=FFFFFFFF lbu     a5,-17(s0/fp)
PC=000001E0 [0017D793] X15=0000007F X15=000000FF X01=000001C0 srli    a5,a5,1
PC=000001E4 [FEF407A3] X15=0000007F X08=00500000 X15=0000007F sb      a5,-17(s0/fp)
PC=000001E8 [FE0407A3] X15=0000007F X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=000001EC [FE0407A3] X15=0000007F X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=000001F0 [FEF44783] X15=00000000 X08=00500000 X15=0000007F lbu     a5,-17(s0/fp)
PC=000001F4 [0017D793] X15=00000000 X15=00000000 X01=000001C0 srli    a5,a5,1
PC=000001F8 [FEF407A3] X15=00000000 X08=00500000 X15=00000000 sb      a5,-17(s0/fp)
PC=000001FC [FE0407A3] X15=00000000 X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=00000200 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=00000204 [FEF407A3] X15=00000001 X08=00500000 X15=00000001 sb      a5,-17(s0/fp)
PC=00000208 [FEF44783] X15=00000001 X08=00500000 X15=00000001 lbu     a5,-17(s0/fp)
PC=0000020C [0017D793] X15=00000000 X15=00000001 X01=000001C0 srli    a5,a5,1
PC=00000210 [FEF407A3] X15=00000000 X08=00500000 X15=00000000 sb      a5,-17(s0/fp)
PC=00000214 [FE0407A3] X15=00000000 X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=00000218 [F8000793] X15=FFFFFF80 X00=00000000 X00=00000000 addi    a5,zero,-128
PC=0000021C [FEF407A3] X15=FFFFFF80 X08=00500000 X15=FFFFFF80 sb      a5,-17(s0/fp)
PC=00000220 [FEF44783] X15=00000080 X08=00500000 X15=FFFFFF80 lbu     a5,-17(s0/fp)
PC=00000224 [0017D793] X15=00000040 X15=00000080 X01=000001C0 srli    a5,a5,1
PC=00000228 [FEF407A3] X15=00000040 X08=00500000 X15=00000040 sb      a5,-17(s0/fp)
PC=0000022C [FE0407A3] X15=00000040 X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=00000230 [FAA00793] X15=FFFFFFAA X00=00000000 X10=00000000 addi    a5,zero,-86
PC=00000234 [FEF407A3] X15=FFFFFFAA X08=00500000 X15=FFFFFFAA sb      a5,-17(s0/fp)
PC=00000238 [FEF44783] X15=000000AA X08=00500000 X15=FFFFFFAA lbu     a5,-17(s0/fp)
PC=0000023C [0017D793] X15=00000055 X15=000000AA X01=000001C0 srli    a5,a5,1
PC=00000240 [FEF407A3] X15=00000055 X08=00500000 X15=00000055 sb      a5,-17(s0/fp)
PC=00000244 [FE0407A3] X15=00000055 X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=00000248 [03C00793] X15=0000003C X00=00000000 X28=00000000 addi    a5,zero,60
PC=0000024C [FEF407A3] X15=0000003C X08=00500000 X15=0000003C sb      a5,-17(s0/fp)
PC=00000250 [FEF44783] X15=0000003C X08=00500000 X15=0000003C lbu     a5,-17(s0/fp)
PC=00000254 [0027D793] X15=0000000F X15=0000003C X02=004FFFE0 srli    a5,a5,2
PC=00000258 [FEF407A3] X15=0000000F X08=00500000 X15=0000000F sb      a5,-17(s0/fp)
PC=0000025C [FE0407A3] X15=0000000F X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=00000260 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000264 [FEF40723] X14=00000000 X08=00500000 X15=FFFFFFFF sb      a5,-18(s0/fp)
PC=00000268 [FEE40783] X15=000000FF X08=00500000 X14=00000000 lb      a5,-18(s0/fp)
PC=0000026C [4017D793] X15=0000007F X15=000000FF X01=000001C0 srai    a5,a5,1
PC=00000270 [FEF40723] X14=00000000 X08=00500000 X15=0000007F sb      a5,-18(s0/fp)
PC=00000274 [FE040723] X14=00000000 X08=00500000 X00=00000000 sb      zero,-18(s0/fp)
PC=00000278 [FE040723] X14=00000000 X08=00500000 X00=00000000 sb      zero,-18(s0/fp)
PC=0000027C [FEE40783] X15=00000000 X08=00500000 X14=00000000 lb      a5,-18(s0/fp)
PC=00000280 [4017D793] X15=00000000 X15=00000000 X01=000001C0 srai    a5,a5,1
PC=00000284 [FEF40723] X14=00000000 X08=00500000 X15=00000000 sb      a5,-18(s0/fp)
PC=00000288 [FE040723] X14=00000000 X08=00500000 X00=00000000 sb      zero,-18(s0/fp)
PC=0000028C [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=00000290 [FEF40723] X14=00000000 X08=00500000 X15=00000001 sb      a5,-18(s0/fp)
PC=00000294 [FEE40783] X15=00000001 X08=00500000 X14=00000000 lb      a5,-18(s0/fp)
PC=00000298 [4017D793] X15=00000000 X15=00000001 X01=000001C0 srai    a5,a5,1
PC=0000029C [FEF40723] X14=00000000 X08=00500000 X15=00000000 sb      a5,-18(s0/fp)
PC=000002A0 [FE040723] X14=00000000 X08=00500000 X00=00000000 sb      zero,-18(s0/fp)
PC=000002A4 [F8000793] X15=FFFFFF80 X00=00000000 X00=00000000 addi    a5,zero,-128
PC=000002A8 [FEF40723] X14=00000000 X08=00500000 X15=FFFFFF80 sb      a5,-18(s0/fp)
PC=000002AC [FEE40783] X15=00000080 X08=00500000 X14=00000000 lb      a5,-18(s0/fp)
PC=000002B0 [4017D793] X15=00000040 X15=00000080 X01=000001C0 srai    a5,a5,1
PC=000002B4 [FEF40723] X14=00000000 X08=00500000 X15=00000040 sb      a5,-18(s0/fp)
PC=000002B8 [FE040723] X14=00000000 X08=00500000 X00=00000000 sb      zero,-18(s0/fp)
PC=000002BC [FAA00793] X15=FFFFFFAA X00=00000000 X10=00000000 addi    a5,zero,-86
PC=000002C0 [FEF40723] X14=00000000 X08=00500000 X15=FFFFFFAA sb      a5,-18(s0/fp)
PC=000002C4 [FEE40783] X15=000000AA X08=00500000 X14=00000000 lb      a5,-18(s0/fp)
PC=000002C8 [4017D793] X15=00000055 X15=000000AA X01=000001C0 srai    a5,a5,1
PC=000002CC [FEF40723] X14=00000000 X08=00500000 X15=00000055 sb      a5,-18(s0/fp)
PC=000002D0 [FE040723] X14=00000000 X08=00500000 X00=00000000 sb      zero,-18(s0/fp)
PC=000002D4 [03C00793] X15=0000003C X00=00000000 X28=00000000 addi    a5,zero,60
PC=000002D8 [FEF40723] X14=00000000 X08=00500000 X15=0000003C sb      a5,-18(s0/fp)
PC=000002DC [FEE40783] X15=0000003C X08=00500000 X14=00000000 lb      a5,-18(s0/fp)
PC=000002E0 [4027D793] X15=0000000F X15=0000003C X02=004FFFE0 srai    a5,a5,2
PC=000002E4 [FEF40723] X14=00000000 X08=00500000 X15=0000000F sb      a5,-18(s0/fp)
