PC=000002B4 [FEF41623] X12=00000000 X08=00500000 X15=FFFFF0F0 sh      a5,-20(s0/fp)
PC=000002B8 [FEE45703] X14=00000F0F X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=000002BC [FEC45783] X15=0000F0F0 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000002C0 [00F767B3] X15=0000FFFF X14=00000F0F X15=0000F0F0 or      a5,a4,a5
PC=000002C4 [FEF41523] X10=00000000 X08=00500000 X15=0000FFFF sh      a5,-22(s0/fp)
PC=000002C8 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=000002CC [FEE45703] X14=00000F0F X08=00500000 X14=00000F0F lhu     a4,-18(s0/fp)
PC=000002D0 [FEC45783] X15=0000F0F0 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000002D4 [00F777B3] X15=00000000 X14=00000F0F X15=0000F0F0 and     a5,a4,a5
PC=000002D8 [FEF41423] X08=00500000 X08=00500000 X15=00000000 sh      a5,-24(s0/fp)
PC=000002DC [FE041423] X08=00500000 X08=00500000 X00=00000000 sh      zero,-24(s0/fp)
PC=000002E0 [FEE45703] X14=00000F0F X08=00500000 X14=00000F0F lhu     a4,-18(s0/fp)
PC=000002E4 [FEC45783] X15=0000F0F0 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000002E8 [00F747B3] X15=0000FFFF X14=00000F0F X15=0000F0F0 xor     a5,a4,a5
PC=000002EC [FEF41323] X06=00000000 X08=00500000 X15=0000FFFF sh      a5,-26(s0/fp)
PC=000002F0 [FE041323] X06=00000000 X08=00500000 X00=00000000 sh      zero,-26(s0/fp)
PC=000002F4 [FEE45703] X14=00000F0F X08=00500000 X14=00000F0F lhu     a4,-18(s0/fp)
PC=000002F8 [FEC45783] X15=0000F0F0 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000002FC [00F767B3] X15=0000FFFF X14=00000F0F X15=0000F0F0 or      a5,a4,a5
PC=00000300 [01079793] X15=FFFF0000 X15=0000FFFF X16=00000000 slli    a5,a5,16
PC=00000304 [0107D793] X15=0000FFFF X15=FFFF0000 X16=00000000 srli    a5,a5,16
PC=00000308 [FFF7C793] X15=FFFF0000 X15=0000FFFF X31=00000000 xori    a5,a5,-1
PC=0000030C [FEF41223] X04=00000000 X08=00500000 X15=FFFF0000 sh      a5,-28(s0/fp)
PC=00000310 [FE041223] X04=00000000 X08=00500000 X00=00000000 sh      zero,-28(s0/fp)
PC=00000314 [FEE45703] X14=00000F0F X08=00500000 X14=00000F0F lhu     a4,-18(s0/fp)
PC=00000318 [FEC45783] X15=0000F0F0 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=0000031C [00F777B3] X15=00000000 X14=00000F0F X15=0000F0F0 and     a5,a4,a5
PC=00000320 [01079793] X15=00000000 X15=00000000 X16=00000000 slli    a5,a5,16
PC=00000324 [0107D793] X15=00000000 X15=00000000 X16=00000000 srli    a5,a5,16
PC=00000328 [FFF7C793] X15=FFFFFFFF X15=00000000 X31=00000000 xori    a5,a5,-1
PC=0000032C [FEF41123] X02=004FFFD0 X08=00500000 X15=FFFFFFFF sh      a5,-30(s0/fp)
PC=00000330 [FE041123] X02=004FFFD0 X08=00500000 X00=00000000 sh      zero,-30(s0/fp)
PC=00000334 [FEE45703] X14=00000F0F X08=00500000 X14=00000F0F lhu     a4,-18(s0/fp)
PC=00000338 [FEC45783] X15=0000F0F0 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=0000033C [00F747B3] X15=0000FFFF X14=00000F0F X15=0000F0F0 xor     a5,a4,a5
PC=00000340 [01079793] X15=FFFF0000 X15=0000FFFF X16=00000000 slli    a5,a5,16
PC=00000344 [0107D793] X15=0000FFFF X15=FFFF0000 X16=00000000 srli    a5,a5,16
PC=00000348 [FFF7C793] X15=FFFF0000 X15=0000FFFF X31=00000000 xori    a5,a5,-1
PC=0000034C [FEF41023] X00=00000000 X08=00500000 X15=FFFF0000 sh      a5,-32(s0/fp)
PC=00000350 [FE041023] X00=00000000 X08=00500000 X00=00000000 sh      zero,-32(s0/fp)
PC=00000354 [FEE45783] X15=00000F0F X08=00500000 X14=00000F0F lhu     a5,-18(s0/fp)
PC=00000358 [FFF7C793] X15=FFFFF0F0 X15=00000F0F X31=00000000 xori    a5,a5,-1
PC=0000035C [FCF41F23] X30=00000000 X08=00500000 X15=FFFFF0F0 sh      a5,-34(s0/fp)
PC=00000360 [FC041F23] X30=00000000 X08=00500000 X00=00000000 sh      zero,-34(s0/fp)
