PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000001D8 [FEF41723] X14=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-18(s0/fp)
PC=000001DC [FEE45783] X15=0000FFFF X08=00500000 X14=00000000 lhu     a5,-18(s0/fp)
PC=000001E0 [0017D793] X15=00007FFF X15=0000FFFF X01=000001C0 srli    a5,a5,1
PC=000001E4 [FEF41723] X14=00000000 X08=00500000 X15=00007FFF sh      a5,-18(s0/fp)
PC=000001E8 [FE041723] X14=00000000 X08=00500000 X00=00000000 sh      zero,-18(s0/fp)
PC=000001EC [FE041723] X14=00000000 X08=00500000 X00=00000000 sh      zero,-18(s0/fp)
PC=000001F0 [FEE45783] X15=00000000 X08=00500000 X14=00000000 lhu     a5,-18(s0/fp)
PC=000001F4 [0017D793] X15=00000000 X15=00000000 X01=000001C0 srli    a5,a5,1
PC=000001F8 [FEF41723] X14=00000000 X08=00500000 X15=00000000 sh      a5,-18(s0/fp)
PC=000001FC [FE041723] X14=00000000 X08=00500000 X00=00000000 sh      zero,-18(s0/fp)
PC=00000200 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=00000204 [FEF41723] X14=00000000 X08=00500000 X15=00000001 sh      a5,-18(s0/fp)
PC=00000208 [FEE45783] X15=00000001 X08=00500000 X14=00000000 lhu     a5,-18(s0/fp)
PC=0000020C [0017D793] X15=00000000 X15=00000001 X01=000001C0 srli    a5,a5,1
PC=00000210 [FEF41723] X14=00000000 X08=00500000 X15=00000000 sh      a5,-18(s0/fp)
PC=00000214 [FE041723] X14=00000000 X08=00500000 X00=00000000 sh      zero,-18(s0/fp)
PC=00000218 [FFFF87B7] X15=FFFF8000 X31=00000000 X31=00000000 lui     a5,4294934528
PC=0000021C [FEF41723] X14=00000000 X08=00500000 X15=FFFF8000 sh      a5,-18(s0/fp)
PC=00000220 [FEE45783] X15=00008000 X08=00500000 X14=00000000 lhu     a5,-18(s0/fp)
PC=00000224 [0017D793] X15=00004000 X15=00008000 X01=000001C0 srli    a5,a5,1
PC=00000228 [FEF41723] X14=00000000 X08=00500000 X15=00004000 sh      a5,-18(s0/fp)
PC=0000022C [FE041723] X14=00000000 X08=00500000 X00=00000000 sh      zero,-18(s0/fp)
PC=00000230 [FFFFB7B7] X15=FFFFB000 X31=00000000 X31=00000000 lui     a5,4294946816
PC=00000234 [AAA78793] X15=FFFFAAAA X15=FFFFB000 X10=00000000 addi    a5,a5,-1366
PC=00000238 [FEF41723] X14=00000000 X08=00500000 X15=FFFFAAAA sh      a5,-18(s0/fp)
PC=0000023C [FEE45783] X15=0000AAAA X08=00500000 X14=00000000 lhu     a5,-18(s0/fp)
PC=00000240 [0017D793] X15=00005555 X15=0000AAAA X01=000001C0 srli    a5,a5,1
PC=00000244 [FEF41723] X14=00000000 X08=00500000 X15=00005555 sh      a5,-18(s0/fp)
PC=00000248 [FE041723] X14=00000000 X08=00500000 X00=00000000 sh      zero,-18(s0/fp)
PC=0000024C [3C000793] X15=000003C0 X00=00000000 X00=00000000 addi    a5,zero,960
PC=00000250 [FEF41723] X14=00000000 X08=00500000 X15=000003C0 sh      a5,-18(s0/fp)
PC=00000254 [FEE45783] X15=000003C0 X08=00500000 X14=00000000 lhu     a5,-18(s0/fp)
PC=00000258 [0027D793] X15=000000F0 X15=000003C0 X02=004FFFE0 srli    a5,a5,2
PC=0000025C [FEF41723] X14=00000000 X08=00500000 X15=000000F0 sh      a5,-18(s0/fp)
PC=00000260 [FE041723] X14=00000000 X08=00500000 X00=00000000 sh      zero,-18(s0/fp)
PC=00000264 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000268 [FEF41623] X12=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-20(s0/fp)
PC=0000026C [FEC41783] X15=0000FFFF X08=00500000 X12=00000000 lh      a5,-20(s0/fp)
PC=00000270 [4017D793] X15=00007FFF X15=0000FFFF X01=000001C0 srai    a5,a5,1
PC=00000274 [FEF41623] X12=00000000 X08=00500000 X15=00007FFF sh      a5,-20(s0/fp)
PC=00000278 [FE041623] X12=00000000 X08=00500000 X00=00000000 sh      zero,-20(s0/fp)
PC=0000027C [FE041623] X12=00000000 X08=00500000 X00=00000000 sh      zero,-20(s0/fp)
PC=00000280 [FEC41783] X15=00000000 X08=00500000 X12=00000000 lh      a5,-20(s0/fp)
PC=00000284 [4017D793] X15=00000000 X15=00000000 X01=000001C0 srai    a5,a5,1
PC=00000288 [FEF41623] X12=00000000 X08=00500000 X15=00000000 sh      a5,-20(s0/fp)
PC=0000028C [FE041623] X12=00000000 X08=00500000 X00=00000000 sh      zero,-20(s0/fp)
PC=00000290 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=00000294 [FEF41623] X12=00000000 X08=00500000 X15=00000001 sh      a5,-20(s0/fp)
PC=00000298 [FEC41783] X15=00000001 X08=00500000 X12=00000000 lh      a5,-20(s0/fp)
PC=0000029C [4017D793] X15=00000000 X15=00000001 X01=000001C0 srai    a5,a5,1
PC=000002A0 [FEF41623] X12=00000000 X08=00500000 X15=00000000 sh      a5,-20(s0/fp)
PC=000002A4 [FE041623] X12=00000000 X08=00500000 X00=00000000 sh      zero,-20(s0/fp)
PC=000002A8 [FFFF87B7] X15=FFFF8000 X31=00000000 X31=00000000 lui     a5,4294934528
PC=000002AC [FEF41623] X12=00000000 X08=00500000 X15=FFFF8000 sh      a5,-20(s0/fp)
PC=000002B0 [FEC41783] X15=00008000 X08=00500000 X12=00000000 lh      a5,-20(s0/fp)
PC=000002B4 [4017D793] X15=00004000 X15=00008000 X01=000001C0 srai    a5,a5,1
PC=000002B8 [FEF41623] X12=00000000 X08=00500000 X15=00004000 sh      a5,-20(s0/fp)
PC=000002BC [FE041623] X12=00000000 X08=00500000 X00=00000000 sh      zero,-20(s0/fp)
PC=000002C0 [FFFFB7B7] X15=FFFFB000 X31=00000000 X31=00000000 lui     a5,4294946816
PC=000002C4 [AAA78793] X15=FFFFAAAA X15=FFFFB000 X10=00000000 addi    a5,a5,-1366
PC=000002C8 [FEF41623] X12=00000000 X08=00500000 X15=FFFFAAAA sh      a5,-20(s0/fp)
PC=000002CC [FEC41783] X15=0000AAAA X08=00500000 X12=00000000 lh      a5,-20(s0/fp)
PC=000002D0 [4017D793] X15=00005555 X15=0000AAAA X01=000001C0 srai    a5,a5,1
PC=000002D4 [FEF41623] X12=00000000 X08=00500000 X15=00005555 sh      a5,-20(s0/fp)
PC=000002D8 [FE041623] X12=00000000 X08=00500000 X00=00000000 sh      zero,-20(s0/fp)
PC=000002DC [3C000793] X15=000003C0 X00=00000000 X00=00000000 addi    a5,zero,960
PC=000002E0 [FEF41623] X12=00000000 X08=00500000 X15=000003C0 sh      a5,-20(s0/fp)
PC=000002E4 [FEC41783] X15=000003C0 X08=00500000 X12=00000000 lh      a5,-20(s0/fp)
