PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FD010113] X02=004FFFD0 X02=00500000 X16=00000000 addi    sp,sp,-48
PC=000001CC [02812623] X12=00000000 X02=004FFFD0 X08=00000000 sw      s0/fp,44(sp)
PC=000001D0 [03010413] X08=00500000 X02=004FFFD0 X16=00000000 addi    s0/fp,sp,48
PC=000001D4 [00000797] X15=000001D4 X00=00000000 X00=00000000 auipc   a5,0
PC=000001D8 [0E078793] X15=000002B4 X15=000001D4 X00=00000000 addi    a5,a5,224
PC=000001DC [FEF42223] X04=00000000 X08=00500000 X15=000002B4 sw      a5,-28(s0/fp)
PC=000001E0 [00000797] X15=000001E0 X00=00000000 X00=00000000 auipc   a5,0
PC=000001E4 [10078793] X15=000002E0 X15=000001E0 X00=00000000 addi    a5,a5,256
PC=000001E8 [FEF42023] X00=00000000 X08=00500000 X15=000002E0 sw      a5,-32(s0/fp)
PC=000001EC [00000797] X15=000001EC X00=00000000 X00=00000000 auipc   a5,0
PC=000001F0 [11078793] X15=000002FC X15=000001EC X16=00000000 addi    a5,a5,272
PC=000001F4 [FCF42E23] X28=00000000 X08=00500000 X15=000002FC sw      a5,-36(s0/fp)
PC=000001F8 [FE442783] X15=000002B4 X08=00500000 X04=00000000 lw      a5,-28(s0/fp)
PC=000001FC [FEF42623] X12=00000000 X08=00500000 X15=000002B4 sw      a5,-20(s0/fp)
PC=00000200 [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=00000204 [01C0006F] X00=00000000 X00=00000000 X28=00000000 jal     zero,28
PC=00000220 [FEC42783] X15=000002B4 X08=00500000 X12=00000000 lw      a5,-20(s0/fp)
PC=00000224 [0007C783] X15=00000000 X15=000002B4 X00=00000000 lbu     a5,0(a5)
PC=0000022C [FE0790E3] X01=000001C0 X15=00000000 X00=00000000 bne     a5,zero,-32
PC=0000022C [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=00000230 [FE042783] X15=000002E0 X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=00000234 [FEF42623] X12=00000000 X08=00500000 X15=000002E0 sw      a5,-20(s0/fp)
PC=00000238 [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=0000023C [01C0006F] X00=00000000 X00=00000000 X28=00000000 jal     zero,28
PC=00000258 [FEC42783] X15=000002E0 X08=00500000 X12=00000000 lw      a5,-20(s0/fp)
PC=0000025C [0007C783] X15=00000000 X15=000002E0 X00=00000000 lbu     a5,0(a5)
PC=00000264 [FE0790E3] X01=000001C0 X15=00000000 X00=00000000 bne     a5,zero,-32
PC=00000264 [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=00000268 [FDC42783] X15=000002FC X08=00500000 X28=00000000 lw      a5,-36(s0/fp)
PC=0000026C [FEF42623] X12=00000000 X08=00500000 X15=000002FC sw      a5,-20(s0/fp)
PC=00000270 [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=00000274 [01C0006F] X00=00000000 X00=00000000 X28=00000000 jal     zero,28
PC=00000290 [FEC42783] X15=000002FC X08=00500000 X12=00000000 lw      a5,-20(s0/fp)
PC=00000294 [0007C783] X15=00000000 X15=000002FC X00=00000000 lbu     a5,0(a5)
PC=0000029C [FE0790E3] X01=000001C0 X15=00000000 X00=00000000 bne     a5,zero,-32
PC=0000029C [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=000002A0 [00000793] X15=00000000 X00=00000000 X00=00000000 addi    a5,zero,0
PC=000002A4 [00078513] X10=00000000 X15=00000000 X00=00000000 addi    a0,a5,0
PC=000002A8 [02C12403] X08=00000000 X02=004FFFD0 X12=00000000 lw      s0/fp,44(sp)
PC=000002AC [03010113] X02=00500000 X02=004FFFD0 X16=00000000 addi    sp,sp,48
PC=000002B0 [00008067] X00=00000000 X01=000001C0 X00=00000000 jalr    zero,ra,0
PC=000001C0 [200002B7] X05=20000000 X00=00000000 X00=00000000 lui     t0,536870912
PC=000001C4 [00100073] X00=00000000 X00=00000000 X01=000001C0 ebreak  
