PC=000002BC [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000002C0 [FEF42423] X08=00500000 X08=00500000 X15=FFFFFFFF sw      a5,-24(s0/fp)
PC=000002C4 [FEC42703] X14=FFFFFFFF X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=000002C8 [FE842783] X15=FFFFFFFF X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=000002CC [02F757B3] X15=00000001 X14=FFFFFFFF X15=FFFFFFFF divu    a5,a4,a5
PC=000002D0 [FEF42223] X04=00000000 X08=00500000 X15=00000001 sw      a5,-28(s0/fp)
PC=000002D4 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=000002D8 [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=000002DC [FEF42623] X12=00000000 X08=00500000 X15=FFFFFFFE sw      a5,-20(s0/fp)
PC=000002E0 [01000793] X15=00000010 X00=00000000 X16=00000000 addi    a5,zero,16
PC=000002E4 [FEF42423] X08=00500000 X08=00500000 X15=00000010 sw      a5,-24(s0/fp)
PC=000002E8 [FEC42703] X14=FFFFFFFE X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=000002EC [FE842783] X15=00000010 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=000002F0 [02F757B3] X15=0FFFFFFF X14=FFFFFFFE X15=00000010 divu    a5,a4,a5
PC=000002F4 [FEF42223] X04=00000000 X08=00500000 X15=0FFFFFFF sw      a5,-28(s0/fp)
PC=000002F8 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=000002FC [02000793] X15=00000020 X00=00000000 X00=00000000 addi    a5,zero,32
PC=00000300 [FEF42623] X12=00000000 X08=00500000 X15=00000020 sw      a5,-20(s0/fp)
PC=00000304 [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=00000308 [FEF42423] X08=00500000 X08=00500000 X15=FFFFFFFE sw      a5,-24(s0/fp)
PC=0000030C [FEC42703] X14=00000020 X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=00000310 [FE842783] X15=FFFFFFFE X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=00000314 [02F757B3] X15=00000000 X14=00000020 X15=FFFFFFFE divu    a5,a4,a5
PC=00000318 [FEF42223] X04=00000000 X08=00500000 X15=00000000 sw      a5,-28(s0/fp)
PC=0000031C [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=00000320 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=00000324 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000328 [FEF42423] X08=00500000 X08=00500000 X15=FFFFFFFF sw      a5,-24(s0/fp)
PC=0000032C [FEC42703] X14=00000000 X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=00000330 [FE842783] X15=FFFFFFFF X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=00000334 [02F757B3] X15=00000000 X14=00000000 X15=FFFFFFFF divu    a5,a4,a5
PC=00000338 [FEF42223] X04=00000000 X08=00500000 X15=00000000 sw      a5,-28(s0/fp)
PC=0000033C [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=00000340 [07800793] X15=00000078 X00=00000000 X24=00000000 addi    a5,zero,120
PC=00000344 [FEF42623] X12=00000000 X08=00500000 X15=00000078 sw      a5,-20(s0/fp)
PC=00000348 [FEC42703] X14=00000078 X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=0000034C [00500793] X15=00000005 X00=00000000 X05=00000000 addi    a5,zero,5
PC=00000350 [02F757B3] X15=00000018 X14=00000078 X15=00000005 divu    a5,a4,a5
PC=00000354 [FEF42223] X04=00000000 X08=00500000 X15=00000018 sw      a5,-28(s0/fp)
PC=00000358 [FE442783] X15=00000018 X08=00500000 X04=00000000 lw      a5,-28(s0/fp)
PC=0000035C [0027D793] X15=00000006 X15=00000018 X02=004FFFE0 srli    a5,a5,2
PC=00000360 [FEF42223] X04=00000000 X08=00500000 X15=00000006 sw      a5,-28(s0/fp)
PC=00000364 [FE442703] X14=00000006 X08=00500000 X04=00000000 lw      a4,-28(s0/fp)
PC=00000368 [00300793] X15=00000003 X00=00000000 X03=00000000 addi    a5,zero,3
PC=0000036C [02F757B3] X15=00000002 X14=00000006 X15=00000003 divu    a5,a4,a5
PC=00000370 [FEF42223] X04=00000000 X08=00500000 X15=00000002 sw      a5,-28(s0/fp)
PC=00000374 [FE442783] X15=00000002 X08=00500000 X04=00000000 lw      a5,-28(s0/fp)
PC=00000378 [0017D793] X15=00000001 X15=00000002 X01=000001C0 srli    a5,a5,1
PC=0000037C [FEF42223] X04=00000000 X08=00500000 X15=00000001 sw      a5,-28(s0/fp)
PC=00000380 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=00000384 [100007B7] X15=0FFFFF00 X00=00000000 X00=00000000 lui     a5,268435200
PC=00000388 [FEF42623] X12=00000000 X08=00500000 X15=0FFFFF00 sw      a5,-20(s0/fp)
PC=0000038C [FEC42783] X15=0FFFFF00 X08=00500000 X12=00000000 lw      a5,-20(s0/fp)
PC=00000390 [FFF7B793] X15=00000001 X15=0FFFFF00 X31=00000000 sltiu   a5,a5,-1
PC=00000394 [0017C793] X15=00000000 X15=00000001 X01=000001C0 xori    a5,a5,1
PC=00000398 [FEF42223] X04=00000000 X08=00500000 X15=00000000 sw      a5,-28(s0/fp)
PC=0000039C [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=000003A0 [00000793] X15=00000000 X00=00000000 X00=00000000 addi    a5,zero,0
PC=000003A4 [00078513] X10=00000000 X15=00000000 X00=00000000 addi    a0,a5,0
PC=000003A8 [01C12403] X08=00000000 X02=004FFFE0 X28=00000000 lw      s0/fp,28(sp)
PC=000003AC [02010113] X02=00500000 X02=004FFFE0 X00=00000000 addi    sp,sp,32
PC=000003B0 [00008067] X00=00000000 X01=000001C0 X00=00000000 jalr    zero,ra,0
PC=000001C0 [200002B7] X05=20000000 X00=00000000 X00=00000000 lui     t0,536870912
PC=000001C4 [00100073] X00=00000000 X00=00000000 X01=000001C0 ebreak  
