PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=00000360 [00178793] X15=00000002 X15=00000001 X01=000001C0 addi    a5,a5,1
PC=00000364 [FEF406A3] X13=00000000 X08=00500000 X15=00000002 sb      a5,-19(s0/fp)
PC=00000368 [0100006F] X00=00000000 X00=00000000 X16=00000000 jal     zero,16
PC=00000378 [FEB40703] X14=000000FF X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=0000037C [FEA40783] X15=000000FE X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=00000394 [00E7CA63] X20=00000000 X15=000000FE X14=000000FF blt     a5,a4,20
PC=00000394 [FEF44783] X15=00000002 X08=00500000 X15=000000FE lbu     a5,-17(s0/fp)
PC=00000398 [00178793] X15=00000003 X15=00000002 X01=000001C0 addi    a5,a5,1
PC=0000039C [FEF407A3] X15=00000003 X08=00500000 X15=00000003 sb      a5,-17(s0/fp)
PC=000003A0 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=000003A4 [FE0407A3] X15=00000003 X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=000003A8 [FE040623] X12=00000000 X08=00500000 X00=00000000 sb      zero,-20(s0/fp)
PC=000003AC [FE040723] X14=000000FF X08=00500000 X00=00000000 sb      zero,-18(s0/fp)
PC=000003B0 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=000003B4 [FEF405A3] X11=00000000 X08=00500000 X15=00000001 sb      a5,-21(s0/fp)
PC=000003B8 [00200793] X15=00000002 X00=00000000 X02=004FFFE0 addi    a5,zero,2
PC=000003BC [FEF40523] X10=00000000 X08=00500000 X15=00000002 sb      a5,-22(s0/fp)
PC=000003C0 [FEB40703] X14=00000001 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=000003C4 [FEA40783] X15=00000002 X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=000003DC [00E7DA63] X20=00000000 X15=00000002 X14=00000001 bge     a5,a4,20
PC=000003DC [FEF44783] X15=00000000 X08=00500000 X15=00000002 lbu     a5,-17(s0/fp)
PC=000003E0 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=000003E4 [FEF407A3] X15=00000001 X08=00500000 X15=00000001 sb      a5,-17(s0/fp)
PC=000003E8 [FEB40703] X14=00000001 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=000003EC [FEA40783] X15=00000002 X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=000003F4 [00F75A63] X20=00000000 X14=00000001 X15=00000002 bge     a4,a5,20
PC=000003F4 [FED44783] X15=00000000 X08=00500000 X13=00000000 lbu     a5,-19(s0/fp)
PC=000003F8 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=000003FC [FEF406A3] X13=00000000 X08=00500000 X15=00000001 sb      a5,-19(s0/fp)
PC=00000400 [0100006F] X00=00000000 X00=00000000 X16=00000000 jal     zero,16
PC=00000410 [FEB40703] X14=00000001 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=00000414 [FEA40783] X15=00000002 X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=0000042C [00F71A63] X20=00000000 X14=00000001 X15=00000002 bne     a4,a5,20
PC=0000042C [FEF44783] X15=00000001 X08=00500000 X15=00000002 lbu     a5,-17(s0/fp)
PC=00000430 [00178793] X15=00000002 X15=00000001 X01=000001C0 addi    a5,a5,1
PC=00000434 [FEF407A3] X15=00000002 X08=00500000 X15=00000002 sb      a5,-17(s0/fp)
PC=00000438 [FEB40703] X14=00000001 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=0000043C [FEA40783] X15=00000002 X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=00000454 [00F74A63] X20=00000000 X14=00000001 X15=00000002 blt     a4,a5,20
PC=00000454 [FEF44783] X15=00000002 X08=00500000 X15=00000002 lbu     a5,-17(s0/fp)
PC=00000458 [00178793] X15=00000003 X15=00000002 X01=000001C0 addi    a5,a5,1
PC=0000045C [FEF407A3] X15=00000003 X08=00500000 X15=00000003 sb      a5,-17(s0/fp)
PC=00000460 [FEB40703] X14=00000001 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=00000464 [FEA40783] X15=00000002 X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=0000046C [00E7CA63] X20=00000000 X15=00000002 X14=00000001 blt     a5,a4,20
PC=0000046C [FED44783] X15=00000001 X08=00500000 X13=00000000 lbu     a5,-19(s0/fp)
PC=00000470 [00178793] X15=00000002 X15=00000001 X01=000001C0 addi    a5,a5,1
PC=00000474 [FEF406A3] X13=00000000 X08=00500000 X15=00000002 sb      a5,-19(s0/fp)
PC=00000478 [0100006F] X00=00000000 X00=00000000 X16=00000000 jal     zero,16
PC=00000488 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=0000048C [FE0407A3] X15=00000002 X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=00000490 [FE040623] X12=00000000 X08=00500000 X00=00000000 sb      zero,-20(s0/fp)
PC=00000494 [FE040723] X14=00000001 X08=00500000 X00=00000000 sb      zero,-18(s0/fp)
PC=00000498 [00F00793] X15=0000000F X00=00000000 X15=00000002 addi    a5,zero,15
PC=0000049C [FEF405A3] X11=00000000 X08=00500000 X15=0000000F sb      a5,-21(s0/fp)
PC=000004A0 [00F00793] X15=0000000F X00=00000000 X15=0000000F addi    a5,zero,15
PC=000004A4 [FEF40523] X10=00000000 X08=00500000 X15=0000000F sb      a5,-22(s0/fp)
PC=000004A8 [FEB40703] X14=0000000F X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=000004AC [FEA40783] X15=0000000F X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=000004C4 [00E7DA63] X20=00000000 X15=0000000F X14=0000000F bge     a5,a4,20
PC=000004C4 [FEF44783] X15=00000000 X08=00500000 X15=0000000F lbu     a5,-17(s0/fp)
PC=000004C8 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=000004CC [FEF407A3] X15=00000001 X08=00500000 X15=00000001 sb      a5,-17(s0/fp)
PC=000004D0 [FEB40703] X14=0000000F X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=000004D4 [FEA40783] X15=0000000F X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=000004EC [00F75A63] X20=00000000 X14=0000000F X15=0000000F bge     a4,a5,20
PC=000004EC [FEF44783] X15=00000001 X08=00500000 X15=0000000F lbu     a5,-17(s0/fp)
PC=000004F0 [00178793] X15=00000002 X15=00000001 X01=000001C0 addi    a5,a5,1
PC=000004F4 [FEF407A3] X15=00000002 X08=00500000 X15=00000002 sb      a5,-17(s0/fp)
PC=000004F8 [FEB40703] X14=0000000F X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=000004FC [FEA40783] X15=0000000F X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=00000504 [00F71A63] X20=00000000 X14=0000000F X15=0000000F bne     a4,a5,20
PC=00000504 [FED44783] X15=00000000 X08=00500000 X13=00000000 lbu     a5,-19(s0/fp)
PC=00000508 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=0000050C [FEF406A3] X13=00000000 X08=00500000 X15=00000001 sb      a5,-19(s0/fp)
PC=00000510 [0100006F] X00=00000000 X00=00000000 X16=00000000 jal     zero,16
PC=00000520 [FEB40703] X14=0000000F X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=00000524 [FEA40783] X15=0000000F X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=0000052C [00F74A63] X20=00000000 X14=0000000F X15=0000000F blt     a4,a5,20
PC=0000052C [FED44783] X15=00000001 X08=00500000 X13=00000000 lbu     a5,-19(s0/fp)
PC=00000530 [00178793] X15=00000002 X15=00000001 X01=000001C0 addi    a5,a5,1
PC=00000534 [FEF406A3] X13=00000000 X08=00500000 X15=00000002 sb      a5,-19(s0/fp)
PC=00000538 [0100006F] X00=00000000 X00=00000000 X16=00000000 jal     zero,16
PC=00000548 [FEB40703] X14=0000000F X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=0000054C [FEA40783] X15=0000000F X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=00000554 [00E7CA63] X20=00000000 X15=0000000F X14=0000000F blt     a5,a4,20
PC=00000554 [FED44783] X15=00000002 X08=00500000 X13=00000000 lbu     a5,-19(s0/fp)
PC=00000558 [00178793] X15=00000003 X15=00000002 X01=000001C0 addi    a5,a5,1
PC=0000055C [FEF406A3] X13=00000000 X08=00500000 X15=00000003 sb      a5,-19(s0/fp)
PC=00000560 [0100006F] X00=00000000 X00=00000000 X16=00000000 jal     zero,16
PC=00000570 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=00000574 [FE0407A3] X15=00000003 X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=00000578 [FE040623] X12=00000000 X08=00500000 X00=00000000 sb      zero,-20(s0/fp)
PC=0000057C [FE040723] X14=0000000F X08=00500000 X00=00000000 sb      zero,-18(s0/fp)
PC=00000580 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=00000584 [FEF405A3] X11=00000000 X08=00500000 X15=00000001 sb      a5,-21(s0/fp)
PC=00000588 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=0000058C [FEF40523] X10=00000000 X08=00500000 X15=FFFFFFFF sb      a5,-22(s0/fp)
PC=00000590 [FEB40703] X14=00000001 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=00000594 [FEA40783] X15=000000FF X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=000005AC [00E7DA63] X20=00000000 X15=000000FF X14=00000001 bge     a5,a4,20
PC=000005AC [FEE44783] X15=00000000 X08=00500000 X14=00000001 lbu     a5,-18(s0/fp)
PC=000005B0 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=000005B4 [FEF40723] X14=00000001 X08=00500000 X15=00000001 sb      a5,-18(s0/fp)
PC=000005B8 [FEB40703] X14=00000001 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=000005BC [FEA40783] X15=000000FF X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=000005C4 [00F75A63] X20=00000000 X14=00000001 X15=000000FF bge     a4,a5,20
PC=000005C4 [FEC44783] X15=00000000 X08=00500000 X12=00000000 lbu     a5,-20(s0/fp)
PC=000005C8 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=000005CC [FEF40623] X12=00000000 X08=00500000 X15=00000001 sb      a5,-20(s0/fp)
PC=000005D0 [0100006F] X00=00000000 X00=00000000 X16=00000000 jal     zero,16
PC=000005E0 [FEB40703] X14=00000001 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=000005E4 [FEA40783] X15=000000FF X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=000005FC [00F71A63] X20=00000000 X14=00000001 X15=000000FF bne     a4,a5,20
PC=000005FC [FEF44783] X15=00000000 X08=00500000 X15=000000FF lbu     a5,-17(s0/fp)
PC=00000600 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=00000604 [FEF407A3] X15=00000001 X08=00500000 X15=00000001 sb      a5,-17(s0/fp)
PC=00000608 [FEB40703] X14=00000001 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=0000060C [FEA40783] X15=000000FF X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=00000624 [00F74A63] X20=00000000 X14=00000001 X15=000000FF blt     a4,a5,20
PC=00000624 [FEE44783] X15=00000001 X08=00500000 X14=00000001 lbu     a5,-18(s0/fp)
PC=00000628 [00178793] X15=00000002 X15=00000001 X01=000001C0 addi    a5,a5,1
PC=0000062C [FEF40723] X14=00000001 X08=00500000 X15=00000002 sb      a5,-18(s0/fp)
PC=00000630 [FEB40703] X14=00000001 X08=00500000 X11=00000000 lb      a4,-21(s0/fp)
PC=00000634 [FEA40783] X15=000000FF X08=00500000 X10=00000000 lb      a5,-22(s0/fp)
PC=0000063C [00E7CA63] X20=00000000 X15=000000FF X14=00000001 blt     a5,a4,20
PC=0000063C [FEC44783] X15=00000001 X08=00500000 X12=00000000 lbu     a5,-20(s0/fp)
PC=00000640 [00178793] X15=00000002 X15=00000001 X01=000001C0 addi    a5,a5,1
PC=00000644 [FEF40623] X12=00000000 X08=00500000 X15=00000002 sb      a5,-20(s0/fp)
PC=00000648 [0100006F] X00=00000000 X00=00000000 X16=00000000 jal     zero,16
PC=00000658 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=0000065C [FE0407A3] X15=00000002 X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=00000660 [FE040623] X12=00000000 X08=00500000 X00=00000000 sb      zero,-20(s0/fp)
PC=00000664 [FE040723] X14=00000001 X08=00500000 X00=00000000 sb      zero,-18(s0/fp)
PC=00000668 [00000793] X15=00000000 X00=00000000 X00=00000000 addi    a5,zero,0
PC=0000066C [00078513] X10=00000000 X15=00000000 X00=00000000 addi    a0,a5,0
PC=00000670 [01C12403] X08=00000000 X02=004FFFE0 X28=00000000 lw      s0/fp,28(sp)
PC=00000674 [02010113] X02=00500000 X02=004FFFE0 X00=00000000 addi    sp,sp,32
PC=00000678 [00008067] X00=00000000 X01=000001C0 X00=00000000 jalr    zero,ra,0
PC=000001C0 [200002B7] X05=20000000 X00=00000000 X00=00000000 lui     t0,536870912
PC=000001C4 [00100073] X00=00000000 X00=00000000 X01=000001C0 ebreak  
