PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [00200793] X15=00000002 X00=00000000 X02=004FFFE0 addi    a5,zero,2
PC=000001D8 [FEF407A3] X15=00000002 X08=00500000 X15=00000002 sb      a5,-17(s0/fp)
PC=000001DC [00400793] X15=00000004 X00=00000000 X04=00000000 addi    a5,zero,4
PC=000001E0 [FEF40723] X14=00000000 X08=00500000 X15=00000004 sb      a5,-18(s0/fp)
PC=000001E4 [FEF44783] X15=00000002 X08=00500000 X15=00000004 lbu     a5,-17(s0/fp)
PC=000001E8 [01079713] X14=00020000 X15=00000002 X16=00000000 slli    a4,a5,16
PC=000001EC [01075713] X14=00000002 X14=00020000 X16=00000000 srli    a4,a4,16
PC=000001F0 [FEE44783] X15=00000004 X08=00500000 X14=00000002 lbu     a5,-18(s0/fp)
PC=000001F4 [01079793] X15=00040000 X15=00000004 X16=00000000 slli    a5,a5,16
PC=000001F8 [0107D793] X15=00000004 X15=00040000 X16=00000000 srli    a5,a5,16
PC=000001FC [02F707B3] X15=00000008 X14=00000002 X15=00000004 mul     a5,a4,a5
PC=00000200 [FEF41623] X12=00000000 X08=00500000 X15=00000008 sh      a5,-20(s0/fp)
PC=00000204 [FE041623] X12=00000000 X08=00500000 X00=00000000 sh      zero,-20(s0/fp)
PC=00000208 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=0000020C [FEF407A3] X15=FFFFFFFF X08=00500000 X15=FFFFFFFF sb      a5,-17(s0/fp)
PC=00000210 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000214 [FEF40723] X14=00000002 X08=00500000 X15=FFFFFFFF sb      a5,-18(s0/fp)
PC=00000218 [FEF44783] X15=000000FF X08=00500000 X15=FFFFFFFF lbu     a5,-17(s0/fp)
PC=0000021C [01079713] X14=00FF0000 X15=000000FF X16=00000000 slli    a4,a5,16
PC=00000220 [01075713] X14=000000FF X14=00FF0000 X16=00000000 srli    a4,a4,16
PC=00000224 [FEE44783] X15=000000FF X08=00500000 X14=000000FF lbu     a5,-18(s0/fp)
PC=00000228 [01079793] X15=00FF0000 X15=000000FF X16=00000000 slli    a5,a5,16
PC=0000022C [0107D793] X15=000000FF X15=00FF0000 X16=00000000 srli    a5,a5,16
PC=00000230 [02F707B3] X15=0000FE01 X14=000000FF X15=000000FF mul     a5,a4,a5
PC=00000234 [FEF41623] X12=00000000 X08=00500000 X15=0000FE01 sh      a5,-20(s0/fp)
PC=00000238 [FE041623] X12=00000000 X08=00500000 X00=00000000 sh      zero,-20(s0/fp)
PC=0000023C [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000240 [FEF407A3] X15=FFFFFFFF X08=00500000 X15=FFFFFFFF sb      a5,-17(s0/fp)
PC=00000244 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=00000248 [FEF40723] X14=000000FF X08=00500000 X15=00000001 sb      a5,-18(s0/fp)
PC=0000024C [FEF44783] X15=000000FF X08=00500000 X15=00000001 lbu     a5,-17(s0/fp)
PC=00000250 [01079713] X14=00FF0000 X15=000000FF X16=00000000 slli    a4,a5,16
PC=00000254 [01075713] X14=000000FF X14=00FF0000 X16=00000000 srli    a4,a4,16
PC=00000258 [FEE44783] X15=00000001 X08=00500000 X14=000000FF lbu     a5,-18(s0/fp)
PC=0000025C [01079793] X15=00010000 X15=00000001 X16=00000000 slli    a5,a5,16
PC=00000260 [0107D793] X15=00000001 X15=00010000 X16=00000000 srli    a5,a5,16
PC=00000264 [02F707B3] X15=000000FF X14=000000FF X15=00000001 mul     a5,a4,a5
PC=00000268 [FEF41623] X12=00000000 X08=00500000 X15=000000FF sh      a5,-20(s0/fp)
PC=0000026C [FE041623] X12=00000000 X08=00500000 X00=00000000 sh      zero,-20(s0/fp)
PC=00000270 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000274 [FEF407A3] X15=FFFFFFFF X08=00500000 X15=FFFFFFFF sb      a5,-17(s0/fp)
PC=00000278 [00A00793] X15=0000000A X00=00000000 X10=00000000 addi    a5,zero,10
PC=0000027C [FEF40723] X14=000000FF X08=00500000 X15=0000000A sb      a5,-18(s0/fp)
PC=00000280 [FEF44783] X15=000000FF X08=00500000 X15=0000000A lbu     a5,-17(s0/fp)
PC=00000284 [01079713] X14=00FF0000 X15=000000FF X16=00000000 slli    a4,a5,16
PC=00000288 [01075713] X14=000000FF X14=00FF0000 X16=00000000 srli    a4,a4,16
PC=0000028C [FEE44783] X15=0000000A X08=00500000 X14=000000FF lbu     a5,-18(s0/fp)
PC=00000290 [01079793] X15=000A0000 X15=0000000A X16=00000000 slli    a5,a5,16
PC=00000294 [0107D793] X15=0000000A X15=000A0000 X16=00000000 srli    a5,a5,16
PC=00000298 [02F707B3] X15=000009F6 X14=000000FF X15=0000000A mul     a5,a4,a5
PC=0000029C [FEF41623] X12=00000000 X08=00500000 X15=000009F6 sh      a5,-20(s0/fp)
PC=000002A0 [FE041623] X12=00000000 X08=00500000 X00=00000000 sh      zero,-20(s0/fp)
PC=000002A4 [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=000002A8 [FEF407A3] X15=FFFFFFFE X08=00500000 X15=FFFFFFFE sb      a5,-17(s0/fp)
PC=000002AC [FFC00793] X15=FFFFFFFC X00=00000000 X28=00000000 addi    a5,zero,-4
PC=000002B0 [FEF40723] X14=000000FF X08=00500000 X15=FFFFFFFC sb      a5,-18(s0/fp)
PC=000002B4 [FEF44783] X15=000000FE X08=00500000 X15=FFFFFFFC lbu     a5,-17(s0/fp)
PC=000002B8 [01079713] X14=00FE0000 X15=000000FE X16=00000000 slli    a4,a5,16
PC=000002BC [01075713] X14=000000FE X14=00FE0000 X16=00000000 srli    a4,a4,16
PC=000002C0 [FEE44783] X15=000000FC X08=00500000 X14=000000FE lbu     a5,-18(s0/fp)
PC=000002C4 [01079793] X15=00FC0000 X15=000000FC X16=00000000 slli    a5,a5,16
PC=000002C8 [0107D793] X15=000000FC X15=00FC0000 X16=00000000 srli    a5,a5,16
PC=000002CC [02F707B3] X15=0000FA08 X14=000000FE X15=000000FC mul     a5,a4,a5
PC=000002D0 [FEF41623] X12=00000000 X08=00500000 X15=0000FA08 sh      a5,-20(s0/fp)
PC=000002D4 [FE041623] X12=00000000 X08=00500000 X00=00000000 sh      zero,-20(s0/fp)
PC=000002D8 [00A00793] X15=0000000A X00=00000000 X10=00000000 addi    a5,zero,10
PC=000002DC [FEF407A3] X15=0000000A X08=00500000 X15=0000000A sb      a5,-17(s0/fp)
PC=000002E0 [00B00793] X15=0000000B X00=00000000 X11=00000000 addi    a5,zero,11
PC=000002E4 [FEF40723] X14=000000FE X08=00500000 X15=0000000B sb      a5,-18(s0/fp)
PC=000002E8 [FEF44783] X15=0000000A X08=00500000 X15=0000000B lbu     a5,-17(s0/fp)
