PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [F1010113] X02=004FFF10 X02=00500000 X16=00000000 addi    sp,sp,-240
PC=000001CC [0E812623] X12=00000000 X02=004FFF10 X08=00000000 sw      s0/fp,236(sp)
PC=000001D0 [0F010413] X08=00500000 X02=004FFF10 X16=00000000 addi    s0/fp,sp,240
PC=000001D4 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=000001D8 [FCF407A3] X15=00000001 X08=00500000 X15=00000001 sb      a5,-49(s0/fp)
PC=000001DC [0400006F] X00=00000000 X00=00000000 X00=00000000 jal     zero,64
PC=0000021C [FCF44703] X14=00000001 X08=00500000 X15=00000001 lbu     a4,-49(s0/fp)
PC=00000220 [00300793] X15=00000003 X00=00000000 X03=00000000 addi    a5,zero,3
PC=000001E0 [FAE7FEE3] X29=00000000 X15=00000003 X14=00000001 bgeu    a5,a4,-68
PC=000001E0 [FCF44783] X15=00000001 X08=00500000 X15=00000003 lbu     a5,-49(s0/fp)
PC=000001E4 [FFF78793] X15=00000000 X15=00000001 X31=00000000 addi    a5,a5,-1
PC=000001E8 [FF040713] X14=004FFFF0 X08=00500000 X16=00000000 addi    a4,s0/fp,-16
PC=000001EC [00F707B3] X15=004FFFF0 X14=004FFFF0 X15=00000000 add     a5,a4,a5
PC=000001F0 [FCF44703] X14=00000001 X08=00500000 X15=004FFFF0 lbu     a4,-49(s0/fp)
PC=000001F4 [FCE78E23] X28=00000000 X15=004FFFF0 X14=00000001 sb      a4,-36(a5)
PC=000001F8 [FCF44783] X15=00000001 X08=00500000 X15=004FFFF0 lbu     a5,-49(s0/fp)
PC=000001FC [FFF78793] X15=00000000 X15=00000001 X31=00000000 addi    a5,a5,-1
PC=00000200 [FF040713] X14=004FFFF0 X08=00500000 X16=00000000 addi    a4,s0/fp,-16
PC=00000204 [00F707B3] X15=004FFFF0 X14=004FFFF0 X15=00000000 add     a5,a4,a5
PC=00000208 [FCF44703] X14=00000001 X08=00500000 X15=004FFFF0 lbu     a4,-49(s0/fp)
PC=0000020C [FCE78C23] X24=00000000 X15=004FFFF0 X14=00000001 sb      a4,-40(a5)
PC=00000210 [FCF44783] X15=00000001 X08=00500000 X15=004FFFF0 lbu     a5,-49(s0/fp)
PC=00000214 [00178793] X15=00000002 X15=00000001 X01=000001C0 addi    a5,a5,1
PC=00000218 [FCF407A3] X15=00000002 X08=00500000 X15=00000002 sb      a5,-49(s0/fp)
PC=0000021C [FCF44703] X14=00000002 X08=00500000 X15=00000002 lbu     a4,-49(s0/fp)
PC=00000220 [00300793] X15=00000003 X00=00000000 X03=00000000 addi    a5,zero,3
PC=000001E0 [FAE7FEE3] X29=00000000 X15=00000003 X14=00000002 bgeu    a5,a4,-68
PC=000001E0 [FCF44783] X15=00000002 X08=00500000 X15=00000003 lbu     a5,-49(s0/fp)
PC=000001E4 [FFF78793] X15=00000001 X15=00000002 X31=00000000 addi    a5,a5,-1
PC=000001E8 [FF040713] X14=004FFFF0 X08=00500000 X16=00000000 addi    a4,s0/fp,-16
PC=000001EC [00F707B3] X15=004FFFF1 X14=004FFFF0 X15=00000001 add     a5,a4,a5
PC=000001F0 [FCF44703] X14=00000002 X08=00500000 X15=004FFFF1 lbu     a4,-49(s0/fp)
PC=000001F4 [FCE78E23] X28=00000000 X15=004FFFF1 X14=00000002 sb      a4,-36(a5)
PC=000001F8 [FCF44783] X15=00000002 X08=00500000 X15=004FFFF1 lbu     a5,-49(s0/fp)
PC=000001FC [FFF78793] X15=00000001 X15=00000002 X31=00000000 addi    a5,a5,-1
PC=00000200 [FF040713] X14=004FFFF0 X08=00500000 X16=00000000 addi    a4,s0/fp,-16
PC=00000204 [00F707B3] X15=004FFFF1 X14=004FFFF0 X15=00000001 add     a5,a4,a5
PC=00000208 [FCF44703] X14=00000002 X08=00500000 X15=004FFFF1 lbu     a4,-49(s0/fp)
PC=0000020C [FCE78C23] X24=00000000 X15=004FFFF1 X14=00000002 sb      a4,-40(a5)
PC=00000210 [FCF44783] X15=00000002 X08=00500000 X15=004FFFF1 lbu     a5,-49(s0/fp)
PC=00000214 [00178793] X15=00000003 X15=00000002 X01=000001C0 addi    a5,a5,1
PC=00000218 [FCF407A3] X15=00000003 X08=00500000 X15=00000003 sb      a5,-49(s0/fp)
PC=0000021C [FCF44703] X14=00000003 X08=00500000 X15=00000003 lbu     a4,-49(s0/fp)
PC=00000220 [00300793] X15=00000003 X00=00000000 X03=00000000 addi    a5,zero,3
PC=000001E0 [FAE7FEE3] X29=00000000 X15=00000003 X14=00000003 bgeu    a5,a4,-68
PC=000001E0 [FCF44783] X15=00000003 X08=00500000 X15=00000003 lbu     a5,-49(s0/fp)
PC=000001E4 [FFF78793] X15=00000002 X15=00000003 X31=00000000 addi    a5,a5,-1
PC=000001E8 [FF040713] X14=004FFFF0 X08=00500000 X16=00000000 addi    a4,s0/fp,-16
PC=000001EC [00F707B3] X15=004FFFF2 X14=004FFFF0 X15=00000002 add     a5,a4,a5
PC=000001F0 [FCF44703] X14=00000003 X08=00500000 X15=004FFFF2 lbu     a4,-49(s0/fp)
PC=000001F4 [FCE78E23] X28=00000000 X15=004FFFF2 X14=00000003 sb      a4,-36(a5)
PC=000001F8 [FCF44783] X15=00000003 X08=00500000 X15=004FFFF2 lbu     a5,-49(s0/fp)
PC=000001FC [FFF78793] X15=00000002 X15=00000003 X31=00000000 addi    a5,a5,-1
PC=00000200 [FF040713] X14=004FFFF0 X08=00500000 X16=00000000 addi    a4,s0/fp,-16
PC=00000204 [00F707B3] X15=004FFFF2 X14=004FFFF0 X15=00000002 add     a5,a4,a5
PC=00000208 [FCF44703] X14=00000003 X08=00500000 X15=004FFFF2 lbu     a4,-49(s0/fp)
PC=0000020C [FCE78C23] X24=00000000 X15=004FFFF2 X14=00000003 sb      a4,-40(a5)
PC=00000210 [FCF44783] X15=00000003 X08=00500000 X15=004FFFF2 lbu     a5,-49(s0/fp)
PC=00000214 [00178793] X15=00000004 X15=00000003 X01=000001C0 addi    a5,a5,1
PC=00000218 [FCF407A3] X15=00000004 X08=00500000 X15=00000004 sb      a5,-49(s0/fp)
PC=0000021C [FCF44703] X14=00000004 X08=00500000 X15=00000004 lbu     a4,-49(s0/fp)
PC=00000220 [00300793] X15=00000003 X00=00000000 X03=00000000 addi    a5,zero,3
PC=00000228 [FAE7FEE3] X29=00000000 X15=00000003 X14=00000004 bgeu    a5,a4,-68
PC=00000228 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=0000022C [FCF407A3] X15=00000001 X08=00500000 X15=00000001 sb      a5,-49(s0/fp)
PC=00000230 [0580006F] X00=00000000 X00=00000000 X24=00000000 jal     zero,88
PC=00000288 [FCF44703] X14=00000001 X08=00500000 X15=00000001 lbu     a4,-49(s0/fp)
PC=0000028C [00300793] X15=00000003 X00=00000000 X03=00000000 addi    a5,zero,3
PC=00000234 [FAE7F2E3] X05=00000000 X15=00000003 X14=00000001 bgeu    a5,a4,-92
PC=00000234 [FCF44783] X15=00000001 X08=00500000 X15=00000003 lbu     a5,-49(s0/fp)
PC=00000238 [FFF78793] X15=00000000 X15=00000001 X31=00000000 addi    a5,a5,-1
PC=0000023C [FCF44703] X14=00000001 X08=00500000 X15=00000000 lbu     a4,-49(s0/fp)
PC=00000240 [01071713] X14=00010000 X14=00000001 X16=00000000 slli    a4,a4,16
PC=00000244 [01075713] X14=00000001 X14=00010000 X16=00000000 srli    a4,a4,16
PC=00000248 [00179793] X15=00000000 X15=00000000 X01=000001C0 slli    a5,a5,1
