PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=000001D8 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=000001DC [FEF41523] X10=00000000 X08=00500000 X15=00000001 sh      a5,-22(s0/fp)
PC=000001E0 [FEA41783] X15=00000001 X08=00500000 X10=00000000 lh      a5,-22(s0/fp)
PC=000001E4 [FEF42623] X12=00000000 X08=00500000 X15=00000001 sw      a5,-20(s0/fp)
PC=000001E8 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=000001EC [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000001F0 [FEF41523] X10=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-22(s0/fp)
PC=000001F4 [FEA41783] X15=0000FFFF X08=00500000 X10=00000000 lh      a5,-22(s0/fp)
PC=000001F8 [FEF42623] X12=00000000 X08=00500000 X15=0000FFFF sw      a5,-20(s0/fp)
PC=000001FC [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=00000200 [FFFF87B7] X15=FFFF8000 X31=00000000 X31=00000000 lui     a5,4294934528
PC=00000204 [FEF41523] X10=00000000 X08=00500000 X15=FFFF8000 sh      a5,-22(s0/fp)
PC=00000208 [FEA41783] X15=00008000 X08=00500000 X10=00000000 lh      a5,-22(s0/fp)
PC=0000020C [FEF42623] X12=00000000 X08=00500000 X15=00008000 sw      a5,-20(s0/fp)
PC=00000210 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=00000214 [FFFF87B7] X15=FFFF8000 X31=00000000 X31=00000000 lui     a5,4294934528
PC=00000218 [FFF7C793] X15=00007FFF X15=FFFF8000 X31=00000000 xori    a5,a5,-1
PC=0000021C [FEF41523] X10=00000000 X08=00500000 X15=00007FFF sh      a5,-22(s0/fp)
PC=00000220 [FEA41783] X15=00007FFF X08=00500000 X10=00000000 lh      a5,-22(s0/fp)
PC=00000224 [FEF42623] X12=00000000 X08=00500000 X15=00007FFF sw      a5,-20(s0/fp)
PC=00000228 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=0000022C [00000793] X15=00000000 X00=00000000 X00=00000000 addi    a5,zero,0
PC=00000230 [00078513] X10=00000000 X15=00000000 X00=00000000 addi    a0,a5,0
PC=00000234 [01C12403] X08=00000000 X02=004FFFE0 X28=00000000 lw      s0/fp,28(sp)
PC=00000238 [02010113] X02=00500000 X02=004FFFE0 X00=00000000 addi    sp,sp,32
PC=0000023C [00008067] X00=00000000 X01=000001C0 X00=00000000 jalr    zero,ra,0
PC=000001C0 [200002B7] X05=20000000 X00=00000000 X00=00000000 lui     t0,536870912
PC=000001C4 [00100073] X00=00000000 X00=00000000 X01=000001C0 ebreak  
