PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000001D8 [FEF407A3] X15=FFFFFFFF X08=00500000 X15=FFFFFFFF sb      a5,-17(s0/fp)
PC=000001DC [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=000001E0 [FEF40723] X14=00000000 X08=00500000 X15=00000001 sb      a5,-18(s0/fp)
PC=000001E4 [FEF40703] X14=000000FF X08=00500000 X15=00000001 lb      a4,-17(s0/fp)
PC=000001E8 [FEE40783] X15=00000001 X08=00500000 X14=000000FF lb      a5,-18(s0/fp)
PC=000001EC [02F747B3] X15=000000FF X14=000000FF X15=00000001 div     a5,a4,a5
PC=000001F0 [FEF406A3] X13=00000000 X08=00500000 X15=000000FF sb      a5,-19(s0/fp)
PC=000001F4 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=000001F8 [00F00793] X15=0000000F X00=00000000 X15=000000FF addi    a5,zero,15
PC=000001FC [FEF407A3] X15=0000000F X08=00500000 X15=0000000F sb      a5,-17(s0/fp)
PC=00000200 [00300793] X15=00000003 X00=00000000 X03=00000000 addi    a5,zero,3
PC=00000204 [FEF40723] X14=000000FF X08=00500000 X15=00000003 sb      a5,-18(s0/fp)
PC=00000208 [FEF40703] X14=0000000F X08=00500000 X15=00000003 lb      a4,-17(s0/fp)
PC=0000020C [FEE40783] X15=00000003 X08=00500000 X14=0000000F lb      a5,-18(s0/fp)
PC=00000210 [02F747B3] X15=00000005 X14=0000000F X15=00000003 div     a5,a4,a5
PC=00000214 [FEF406A3] X13=00000000 X08=00500000 X15=00000005 sb      a5,-19(s0/fp)
PC=00000218 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=0000021C [FAA00793] X15=FFFFFFAA X00=00000000 X10=00000000 addi    a5,zero,-86
PC=00000220 [FEF407A3] X15=FFFFFFAA X08=00500000 X15=FFFFFFAA sb      a5,-17(s0/fp)
PC=00000224 [05500793] X15=00000055 X00=00000000 X21=00000000 addi    a5,zero,85
PC=00000228 [FEF40723] X14=0000000F X08=00500000 X15=00000055 sb      a5,-18(s0/fp)
PC=0000022C [FEF40703] X14=000000AA X08=00500000 X15=00000055 lb      a4,-17(s0/fp)
PC=00000230 [FEE40783] X15=00000055 X08=00500000 X14=000000AA lb      a5,-18(s0/fp)
PC=00000234 [02F747B3] X15=00000002 X14=000000AA X15=00000055 div     a5,a4,a5
PC=00000238 [FEF406A3] X13=00000000 X08=00500000 X15=00000002 sb      a5,-19(s0/fp)
PC=0000023C [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=00000240 [07F00793] X15=0000007F X00=00000000 X31=00000000 addi    a5,zero,127
PC=00000244 [FEF407A3] X15=0000007F X08=00500000 X15=0000007F sb      a5,-17(s0/fp)
PC=00000248 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=0000024C [FEF40723] X14=000000AA X08=00500000 X15=FFFFFFFF sb      a5,-18(s0/fp)
PC=00000250 [FEF40703] X14=0000007F X08=00500000 X15=FFFFFFFF lb      a4,-17(s0/fp)
PC=00000254 [FEE40783] X15=000000FF X08=00500000 X14=0000007F lb      a5,-18(s0/fp)
PC=00000258 [02F747B3] X15=00000000 X14=0000007F X15=000000FF div     a5,a4,a5
PC=0000025C [FEF406A3] X13=00000000 X08=00500000 X15=00000000 sb      a5,-19(s0/fp)
PC=00000260 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=00000264 [FE0407A3] X15=00000000 X08=00500000 X00=00000000 sb      zero,-17(s0/fp)
PC=00000268 [F8000793] X15=FFFFFF80 X00=00000000 X00=00000000 addi    a5,zero,-128
PC=0000026C [FEF40723] X14=0000007F X08=00500000 X15=FFFFFF80 sb      a5,-18(s0/fp)
PC=00000270 [FEF40703] X14=00000000 X08=00500000 X15=FFFFFF80 lb      a4,-17(s0/fp)
PC=00000274 [FEE40783] X15=00000080 X08=00500000 X14=00000000 lb      a5,-18(s0/fp)
PC=00000278 [02F747B3] X15=00000000 X14=00000000 X15=00000080 div     a5,a4,a5
PC=0000027C [FEF406A3] X13=00000000 X08=00500000 X15=00000000 sb      a5,-19(s0/fp)
PC=00000280 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=00000284 [03000793] X15=00000030 X00=00000000 X16=00000000 addi    a5,zero,48
PC=00000288 [FEF407A3] X15=00000030 X08=00500000 X15=00000030 sb      a5,-17(s0/fp)
PC=0000028C [00500793] X15=00000005 X00=00000000 X05=00000000 addi    a5,zero,5
PC=00000290 [FEF40723] X14=00000000 X08=00500000 X15=00000005 sb      a5,-18(s0/fp)
PC=00000294 [FEF40703] X14=00000030 X08=00500000 X15=00000005 lb      a4,-17(s0/fp)
PC=00000298 [FEE40783] X15=00000005 X08=00500000 X14=00000030 lb      a5,-18(s0/fp)
PC=0000029C [02F747B3] X15=00000009 X14=00000030 X15=00000005 div     a5,a4,a5
PC=000002A0 [FEF406A3] X13=00000000 X08=00500000 X15=00000009 sb      a5,-19(s0/fp)
PC=000002A4 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=000002A8 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000002AC [FEF407A3] X15=FFFFFFFF X08=00500000 X15=FFFFFFFF sb      a5,-17(s0/fp)
PC=000002B0 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000002B4 [FEF40723] X14=00000030 X08=00500000 X15=FFFFFFFF sb      a5,-18(s0/fp)
PC=000002B8 [FEF40703] X14=000000FF X08=00500000 X15=FFFFFFFF lb      a4,-17(s0/fp)
PC=000002BC [FEE40783] X15=000000FF X08=00500000 X14=000000FF lb      a5,-18(s0/fp)
PC=000002C0 [02F747B3] X15=00000001 X14=000000FF X15=000000FF div     a5,a4,a5
PC=000002C4 [FEF406A3] X13=00000000 X08=00500000 X15=00000001 sb      a5,-19(s0/fp)
PC=000002C8 [FE0406A3] X13=00000000 X08=00500000 X00=00000000 sb      zero,-19(s0/fp)
PC=000002CC [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=000002D0 [FEF407A3] X15=FFFFFFFE X08=00500000 X15=FFFFFFFE sb      a5,-17(s0/fp)
PC=000002D4 [01000793] X15=00000010 X00=00000000 X16=00000000 addi    a5,zero,16
PC=000002D8 [FEF40723] X14=000000FF X08=00500000 X15=00000010 sb      a5,-18(s0/fp)
PC=000002DC [FEF40703] X14=000000FE X08=00500000 X15=00000010 lb      a4,-17(s0/fp)
PC=000002E0 [FEE40783] X15=00000010 X08=00500000 X14=000000FE lb      a5,-18(s0/fp)
PC=000002E4 [02F747B3] X15=0000000F X14=000000FE X15=00000010 div     a5,a4,a5
