PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [FE000793] X15=FFFFFFE0 X00=00000000 X00=00000000 addi    a5,zero,-32
PC=000001D8 [FEF42623] X12=00000000 X08=00500000 X15=FFFFFFE0 sw      a5,-20(s0/fp)
PC=000001DC [03200793] X15=00000032 X00=00000000 X18=00000000 addi    a5,zero,50
PC=000001E0 [FEF42423] X08=00500000 X08=00500000 X15=00000032 sw      a5,-24(s0/fp)
PC=000001E4 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=000001E8 [FEC42703] X14=FFFFFFE0 X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=000001EC [FE842783] X15=00000032 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=000001F0 [00F727B3] X15=00000001 X14=FFFFFFE0 X15=00000032 slt     a5,a4,a5
PC=000001F4 [0FF7F793] X15=00000001 X15=00000001 X31=00000000 andi    a5,a5,255
PC=000001F8 [FEF42223] X04=00000000 X08=00500000 X15=00000001 sw      a5,-28(s0/fp)
PC=000001FC [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=00000200 [FFB00793] X15=FFFFFFFB X00=00000000 X27=00000000 addi    a5,zero,-5
PC=00000204 [FEF42423] X08=00500000 X08=00500000 X15=FFFFFFFB sw      a5,-24(s0/fp)
PC=00000208 [FEC42703] X14=FFFFFFE0 X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=0000020C [FE842783] X15=FFFFFFFB X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=00000210 [00F727B3] X15=00000001 X14=FFFFFFE0 X15=FFFFFFFB slt     a5,a4,a5
PC=00000214 [0FF7F793] X15=00000001 X15=00000001 X31=00000000 andi    a5,a5,255
PC=00000218 [FEF42223] X04=00000000 X08=00500000 X15=00000001 sw      a5,-28(s0/fp)
PC=0000021C [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=00000220 [0C800793] X15=000000C8 X00=00000000 X08=00500000 addi    a5,zero,200
PC=00000224 [FEF42623] X12=00000000 X08=00500000 X15=000000C8 sw      a5,-20(s0/fp)
PC=00000228 [FEC00793] X15=FFFFFFEC X00=00000000 X12=00000000 addi    a5,zero,-20
PC=0000022C [FEF42423] X08=00500000 X08=00500000 X15=FFFFFFEC sw      a5,-24(s0/fp)
PC=00000230 [FEC42703] X14=000000C8 X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=00000234 [FE842783] X15=FFFFFFEC X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=00000238 [00F727B3] X15=00000000 X14=000000C8 X15=FFFFFFEC slt     a5,a4,a5
PC=0000023C [0FF7F793] X15=00000000 X15=00000000 X31=00000000 andi    a5,a5,255
PC=00000240 [FEF42223] X04=00000000 X08=00500000 X15=00000000 sw      a5,-28(s0/fp)
PC=00000244 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=00000248 [01400793] X15=00000014 X00=00000000 X20=00000000 addi    a5,zero,20
PC=0000024C [FEF42423] X08=00500000 X08=00500000 X15=00000014 sw      a5,-24(s0/fp)
PC=00000250 [FEC42703] X14=000000C8 X08=00500000 X12=00000000 lw      a4,-20(s0/fp)
PC=00000254 [FE842783] X15=00000014 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=00000258 [00F727B3] X15=00000000 X14=000000C8 X15=00000014 slt     a5,a4,a5
PC=0000025C [0FF7F793] X15=00000000 X15=00000000 X31=00000000 andi    a5,a5,255
PC=00000260 [FEF42223] X04=00000000 X08=00500000 X15=00000000 sw      a5,-28(s0/fp)
PC=00000264 [FE042223] X04=00000000 X08=00500000 X00=00000000 sw      zero,-28(s0/fp)
PC=00000268 [00000793] X15=00000000 X00=00000000 X00=00000000 addi    a5,zero,0
PC=0000026C [00078513] X10=00000000 X15=00000000 X00=00000000 addi    a0,a5,0
PC=00000270 [01C12403] X08=00000000 X02=004FFFE0 X28=00000000 lw      s0/fp,28(sp)
PC=00000274 [02010113] X02=00500000 X02=004FFFE0 X00=00000000 addi    sp,sp,32
PC=00000278 [00008067] X00=00000000 X01=000001C0 X00=00000000 jalr    zero,ra,0
PC=000001C0 [200002B7] X05=20000000 X00=00000000 X00=00000000 lui     t0,536870912
PC=000001C4 [00100073] X00=00000000 X00=00000000 X01=000001C0 ebreak  
