PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [00000693] X13=00000000 X00=00000000 X00=00000000 addi    a3,zero,0
PC=000001D8 [00000713] X14=00000000 X00=00000000 X00=00000000 addi    a4,zero,0
PC=000001DC [FED42423] X08=00500000 X08=00500000 X13=00000000 sw      a3,-24(s0/fp)
PC=000001E0 [FEE42623] X12=00000000 X08=00500000 X14=00000000 sw      a4,-20(s0/fp)
PC=000001E4 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=000001E8 [FEF403A3] X07=00000000 X08=00500000 X15=00000001 sb      a5,-25(s0/fp)
PC=000001EC [FE744783] X15=00000001 X08=00500000 X07=00000000 lbu     a5,-25(s0/fp)
PC=000001F0 [01879793] X15=01000000 X15=00000001 X24=00000000 slli    a5,a5,24
PC=000001F4 [4187D793] X15=00000001 X15=01000000 X24=00000000 srai    a5,a5,24
PC=000001F8 [FEF42423] X08=00500000 X08=00500000 X15=00000001 sw      a5,-24(s0/fp)
PC=000001FC [41F7D793] X15=00000000 X15=00000001 X31=00000000 srai    a5,a5,31
PC=00000200 [FEF42623] X12=00000000 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=00000204 [FED42423] X08=00500000 X08=00500000 X13=00000000 sw      a3,-24(s0/fp)
PC=00000208 [FEE42623] X12=00000000 X08=00500000 X14=00000000 sw      a4,-20(s0/fp)
PC=0000020C [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000210 [FEF403A3] X07=00000000 X08=00500000 X15=FFFFFFFF sb      a5,-25(s0/fp)
PC=00000214 [FE744783] X15=000000FF X08=00500000 X07=00000000 lbu     a5,-25(s0/fp)
PC=00000218 [01879793] X15=FF000000 X15=000000FF X24=00000000 slli    a5,a5,24
PC=0000021C [4187D793] X15=FFFFFFFF X15=FF000000 X24=00000000 srai    a5,a5,24
PC=00000220 [FEF42423] X08=00500000 X08=00500000 X15=FFFFFFFF sw      a5,-24(s0/fp)
PC=00000224 [41F7D793] X15=FFFFFFFF X15=FFFFFFFF X31=00000000 srai    a5,a5,31
PC=00000228 [FEF42623] X12=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-20(s0/fp)
PC=0000022C [FED42423] X08=00500000 X08=00500000 X13=00000000 sw      a3,-24(s0/fp)
PC=00000230 [FEE42623] X12=00000000 X08=00500000 X14=00000000 sw      a4,-20(s0/fp)
PC=00000234 [F8000793] X15=FFFFFF80 X00=00000000 X00=00000000 addi    a5,zero,-128
PC=00000238 [FEF403A3] X07=00000000 X08=00500000 X15=FFFFFF80 sb      a5,-25(s0/fp)
PC=0000023C [FE744783] X15=00000080 X08=00500000 X07=00000000 lbu     a5,-25(s0/fp)
PC=00000240 [01879793] X15=80000000 X15=00000080 X24=00000000 slli    a5,a5,24
PC=00000244 [4187D793] X15=FFFFFF80 X15=80000000 X24=00000000 srai    a5,a5,24
PC=00000248 [FEF42423] X08=00500000 X08=00500000 X15=FFFFFF80 sw      a5,-24(s0/fp)
PC=0000024C [41F7D793] X15=FFFFFFFF X15=FFFFFF80 X31=00000000 srai    a5,a5,31
PC=00000250 [FEF42623] X12=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-20(s0/fp)
PC=00000254 [FED42423] X08=00500000 X08=00500000 X13=00000000 sw      a3,-24(s0/fp)
PC=00000258 [FEE42623] X12=00000000 X08=00500000 X14=00000000 sw      a4,-20(s0/fp)
PC=0000025C [07F00793] X15=0000007F X00=00000000 X31=00000000 addi    a5,zero,127
PC=00000260 [FEF403A3] X07=00000000 X08=00500000 X15=0000007F sb      a5,-25(s0/fp)
PC=00000264 [FE744783] X15=0000007F X08=00500000 X07=00000000 lbu     a5,-25(s0/fp)
PC=00000268 [01879793] X15=7F000000 X15=0000007F X24=00000000 slli    a5,a5,24
PC=0000026C [4187D793] X15=0000007F X15=7F000000 X24=00000000 srai    a5,a5,24
PC=00000270 [FEF42423] X08=00500000 X08=00500000 X15=0000007F sw      a5,-24(s0/fp)
PC=00000274 [41F7D793] X15=00000000 X15=0000007F X31=00000000 srai    a5,a5,31
PC=00000278 [FEF42623] X12=00000000 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=0000027C [FED42423] X08=00500000 X08=00500000 X13=00000000 sw      a3,-24(s0/fp)
PC=00000280 [FEE42623] X12=00000000 X08=00500000 X14=00000000 sw      a4,-20(s0/fp)
PC=00000284 [00000793] X15=00000000 X00=00000000 X00=00000000 addi    a5,zero,0
PC=00000288 [00078513] X10=00000000 X15=00000000 X00=00000000 addi    a0,a5,0
PC=0000028C [01C12403] X08=00000000 X02=004FFFE0 X28=00000000 lw      s0/fp,28(sp)
PC=00000290 [02010113] X02=00500000 X02=004FFFE0 X00=00000000 addi    sp,sp,32
PC=00000294 [00008067] X00=00000000 X01=000001C0 X00=00000000 jalr    zero,ra,0
PC=000001C0 [200002B7] X05=20000000 X00=00000000 X00=00000000 lui     t0,536870912
PC=000001C4 [00100073] X00=00000000 X00=00000000 X01=000001C0 ebreak  
