PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [00200793] X15=00000002 X00=00000000 X02=004FFFE0 addi    a5,zero,2
PC=000001D8 [FEF41723] X14=00000000 X08=00500000 X15=00000002 sh      a5,-18(s0/fp)
PC=000001DC [00400793] X15=00000004 X00=00000000 X04=00000000 addi    a5,zero,4
PC=000001E0 [FEF41623] X12=00000000 X08=00500000 X15=00000004 sh      a5,-20(s0/fp)
PC=000001E4 [FEE45703] X14=00000002 X08=00500000 X14=00000000 lhu     a4,-18(s0/fp)
PC=000001E8 [FEC45783] X15=00000004 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000001EC [02F707B3] X15=00000008 X14=00000002 X15=00000004 mul     a5,a4,a5
PC=000001F0 [FEF42423] X08=00500000 X08=00500000 X15=00000008 sw      a5,-24(s0/fp)
PC=000001F4 [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=000001F8 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000001FC [FEF41723] X14=00000002 X08=00500000 X15=FFFFFFFF sh      a5,-18(s0/fp)
PC=00000200 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000204 [FEF41623] X12=00000000 X08=00500000 X15=FFFFFFFF sh      a5,-20(s0/fp)
PC=00000208 [FEE45703] X14=0000FFFF X08=00500000 X14=00000002 lhu     a4,-18(s0/fp)
PC=0000020C [FEC45783] X15=0000FFFF X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000210 [02F707B3] X15=FFFE0001 X14=0000FFFF X15=0000FFFF mul     a5,a4,a5
PC=00000214 [FEF42423] X08=00500000 X08=00500000 X15=FFFE0001 sw      a5,-24(s0/fp)
PC=00000218 [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=0000021C [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000220 [FEF41723] X14=0000FFFF X08=00500000 X15=FFFFFFFF sh      a5,-18(s0/fp)
PC=00000224 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=00000228 [FEF41623] X12=00000000 X08=00500000 X15=00000001 sh      a5,-20(s0/fp)
PC=0000022C [FEE45703] X14=0000FFFF X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=00000230 [FEC45783] X15=00000001 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000234 [02F707B3] X15=0000FFFF X14=0000FFFF X15=00000001 mul     a5,a4,a5
PC=00000238 [FEF42423] X08=00500000 X08=00500000 X15=0000FFFF sw      a5,-24(s0/fp)
PC=0000023C [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=00000240 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000244 [FEF41723] X14=0000FFFF X08=00500000 X15=FFFFFFFF sh      a5,-18(s0/fp)
PC=00000248 [00A00793] X15=0000000A X00=00000000 X10=00000000 addi    a5,zero,10
PC=0000024C [FEF41623] X12=00000000 X08=00500000 X15=0000000A sh      a5,-20(s0/fp)
PC=00000250 [FEE45703] X14=0000FFFF X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=00000254 [FEC45783] X15=0000000A X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000258 [02F707B3] X15=0009FFF6 X14=0000FFFF X15=0000000A mul     a5,a4,a5
PC=0000025C [FEF42423] X08=00500000 X08=00500000 X15=0009FFF6 sw      a5,-24(s0/fp)
PC=00000260 [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=00000264 [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=00000268 [FEF41723] X14=0000FFFF X08=00500000 X15=FFFFFFFE sh      a5,-18(s0/fp)
PC=0000026C [FFC00793] X15=FFFFFFFC X00=00000000 X28=00000000 addi    a5,zero,-4
PC=00000270 [FEF41623] X12=00000000 X08=00500000 X15=FFFFFFFC sh      a5,-20(s0/fp)
PC=00000274 [FEE45703] X14=0000FFFE X08=00500000 X14=0000FFFF lhu     a4,-18(s0/fp)
PC=00000278 [FEC45783] X15=0000FFFC X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=0000027C [02F707B3] X15=FFFA0008 X14=0000FFFE X15=0000FFFC mul     a5,a4,a5
PC=00000280 [FEF42423] X08=00500000 X08=00500000 X15=FFFA0008 sw      a5,-24(s0/fp)
PC=00000284 [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=00000288 [00A00793] X15=0000000A X00=00000000 X10=00000000 addi    a5,zero,10
PC=0000028C [FEF41723] X14=0000FFFE X08=00500000 X15=0000000A sh      a5,-18(s0/fp)
PC=00000290 [00B00793] X15=0000000B X00=00000000 X11=00000000 addi    a5,zero,11
PC=00000294 [FEF41623] X12=00000000 X08=00500000 X15=0000000B sh      a5,-20(s0/fp)
PC=00000298 [FEE45703] X14=0000000A X08=00500000 X14=0000FFFE lhu     a4,-18(s0/fp)
PC=0000029C [FEC45783] X15=0000000B X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000002A0 [02F707B3] X15=0000006E X14=0000000A X15=0000000B mul     a5,a4,a5
PC=000002A4 [FEF42423] X08=00500000 X08=00500000 X15=0000006E sw      a5,-24(s0/fp)
PC=000002A8 [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=000002AC [FF600793] X15=FFFFFFF6 X00=00000000 X22=00000000 addi    a5,zero,-10
PC=000002B0 [FEF41723] X14=0000000A X08=00500000 X15=FFFFFFF6 sh      a5,-18(s0/fp)
PC=000002B4 [00B00793] X15=0000000B X00=00000000 X11=00000000 addi    a5,zero,11
PC=000002B8 [FEF41623] X12=00000000 X08=00500000 X15=0000000B sh      a5,-20(s0/fp)
PC=000002BC [FEE45703] X14=0000FFF6 X08=00500000 X14=0000000A lhu     a4,-18(s0/fp)
PC=000002C0 [FEC45783] X15=0000000B X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=000002C4 [02F707B3] X15=000AFF92 X14=0000FFF6 X15=0000000B mul     a5,a4,a5
PC=000002C8 [FEF42423] X08=00500000 X08=00500000 X15=000AFF92 sw      a5,-24(s0/fp)
PC=000002CC [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=000002D0 [FFFFF7B7] X15=FFFFF000 X31=00000000 X31=00000000 lui     a5,4294963200
PC=000002D4 [FEF41723] X14=0000FFF6 X08=00500000 X15=FFFFF000 sh      a5,-18(s0/fp)
PC=000002D8 [FFFFF7B7] X15=FFFFF000 X31=00000000 X31=00000000 lui     a5,4294963200
PC=000002DC [00178793] X15=FFFFF001 X15=FFFFF000 X01=000001C0 addi    a5,a5,1
PC=000002E0 [FEF41623] X12=00000000 X08=00500000 X15=FFFFF001 sh      a5,-20(s0/fp)
