PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000002E4 [FFFFB7B7] X15=FFFFB000 X31=00000000 X31=00000000 lui     a5,4294946816
PC=000002E8 [AAA78793] X15=FFFFAAAA X15=FFFFB000 X10=00000000 addi    a5,a5,-1366
PC=000002EC [FEF41723] X14=00000F0F X08=00500000 X15=FFFFAAAA sh      a5,-18(s0/fp)
PC=000002F0 [000057B7] X15=00005000 X00=00000000 X00=00000000 lui     a5,20480
PC=000002F4 [55578793] X15=00005555 X15=00005000 X21=00000000 addi    a5,a5,1365
PC=000002F8 [FEF41623] X12=00000000 X08=00500000 X15=00005555 sh      a5,-20(s0/fp)
PC=000002FC [FEE45703] X14=0000AAAA X08=00500000 X14=00000F0F lhu     a4,-18(s0/fp)
PC=00000300 [FEC45783] X15=00005555 X08=00500000 X12=00000000 lhu     a5,-20(s0/fp)
PC=00000304 [40F707B3] X15=00005555 X14=0000AAAA X15=00005555 sub     a5,a4,a5
PC=00000308 [01079793] X15=55550000 X15=00005555 X16=00000000 slli    a5,a5,16
PC=0000030C [0107D793] X15=00005555 X15=55550000 X16=00000000 srli    a5,a5,16
PC=00000310 [FEF41523] X10=00000000 X08=00500000 X15=00005555 sh      a5,-22(s0/fp)
PC=00000314 [FE041523] X10=00000000 X08=00500000 X00=00000000 sh      zero,-22(s0/fp)
PC=00000318 [00F00793] X15=0000000F X00=00000000 X15=00005555 addi    a5,zero,15
PC=0000031C [FEF41423] X08=00500000 X08=00500000 X15=0000000F sh      a5,-24(s0/fp)
PC=00000320 [FE845783] X15=0000000F X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=00000324 [FFF78793] X15=0000000E X15=0000000F X31=00000000 addi    a5,a5,-1
PC=00000328 [01079793] X15=000E0000 X15=0000000E X16=00000000 slli    a5,a5,16
PC=0000032C [0107D793] X15=0000000E X15=000E0000 X16=00000000 srli    a5,a5,16
PC=00000330 [FEF41423] X08=00500000 X08=00500000 X15=0000000E sh      a5,-24(s0/fp)
PC=00000334 [FE845783] X15=0000000E X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=00000338 [FFE78793] X15=0000000C X15=0000000E X30=00000000 addi    a5,a5,-2
PC=0000033C [01079793] X15=000C0000 X15=0000000C X16=00000000 slli    a5,a5,16
PC=00000340 [0107D793] X15=0000000C X15=000C0000 X16=00000000 srli    a5,a5,16
PC=00000344 [FEF41423] X08=00500000 X08=00500000 X15=0000000C sh      a5,-24(s0/fp)
PC=00000348 [FE845783] X15=0000000C X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=0000034C [FFD78793] X15=00000009 X15=0000000C X29=00000000 addi    a5,a5,-3
PC=00000350 [01079793] X15=00090000 X15=00000009 X16=00000000 slli    a5,a5,16
PC=00000354 [0107D793] X15=00000009 X15=00090000 X16=00000000 srli    a5,a5,16
PC=00000358 [FEF41423] X08=00500000 X08=00500000 X15=00000009 sh      a5,-24(s0/fp)
PC=0000035C [FE845783] X15=00000009 X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=00000360 [FFC78793] X15=00000005 X15=00000009 X28=00000000 addi    a5,a5,-4
PC=00000364 [01079793] X15=00050000 X15=00000005 X16=00000000 slli    a5,a5,16
PC=00000368 [0107D793] X15=00000005 X15=00050000 X16=00000000 srli    a5,a5,16
PC=0000036C [FEF41423] X08=00500000 X08=00500000 X15=00000005 sh      a5,-24(s0/fp)
PC=00000370 [FE845783] X15=00000005 X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=00000374 [FFB78793] X15=00000000 X15=00000005 X27=00000000 addi    a5,a5,-5
PC=00000378 [01079793] X15=00000000 X15=00000000 X16=00000000 slli    a5,a5,16
PC=0000037C [0107D793] X15=00000000 X15=00000000 X16=00000000 srli    a5,a5,16
PC=00000380 [FEF41423] X08=00500000 X08=00500000 X15=00000000 sh      a5,-24(s0/fp)
PC=00000384 [FE041423] X08=00500000 X08=00500000 X00=00000000 sh      zero,-24(s0/fp)
PC=00000388 [0FF00793] X15=000000FF X00=00000000 X31=00000000 addi    a5,zero,255
PC=0000038C [FEF41323] X06=00000000 X08=00500000 X15=000000FF sh      a5,-26(s0/fp)
PC=00000390 [F0000793] X15=FFFFFF00 X00=00000000 X00=00000000 addi    a5,zero,-256
PC=00000394 [FEF41223] X04=00000000 X08=00500000 X15=FFFFFF00 sh      a5,-28(s0/fp)
PC=00000398 [FE645703] X14=000000FF X08=00500000 X06=00000000 lhu     a4,-26(s0/fp)
PC=0000039C [FE445783] X15=0000FF00 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=000003A0 [40F707B3] X15=FFFF01FF X14=000000FF X15=0000FF00 sub     a5,a4,a5
PC=000003A4 [FEF41123] X02=004FFFE0 X08=00500000 X15=FFFF01FF sh      a5,-30(s0/fp)
PC=000003A8 [FE041123] X02=004FFFE0 X08=00500000 X00=00000000 sh      zero,-30(s0/fp)
PC=000003AC [FEC00793] X15=FFFFFFEC X00=00000000 X12=00000000 addi    a5,zero,-20
PC=000003B0 [FEF41323] X06=00000000 X08=00500000 X15=FFFFFFEC sh      a5,-26(s0/fp)
PC=000003B4 [FE200793] X15=FFFFFFE2 X00=00000000 X02=004FFFE0 addi    a5,zero,-30
PC=000003B8 [FEF41223] X04=00000000 X08=00500000 X15=FFFFFFE2 sh      a5,-28(s0/fp)
PC=000003BC [FE645703] X14=0000FFEC X08=00500000 X06=00000000 lhu     a4,-26(s0/fp)
PC=000003C0 [FE445783] X15=0000FFE2 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=000003C4 [40F707B3] X15=0000000A X14=0000FFEC X15=0000FFE2 sub     a5,a4,a5
PC=000003C8 [FEF41123] X02=004FFFE0 X08=00500000 X15=0000000A sh      a5,-30(s0/fp)
PC=000003CC [FE041123] X02=004FFFE0 X08=00500000 X00=00000000 sh      zero,-30(s0/fp)
PC=000003D0 [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=000003D4 [FEF41323] X06=00000000 X08=00500000 X15=FFFFFFFE sh      a5,-26(s0/fp)
PC=000003D8 [00200793] X15=00000002 X00=00000000 X02=004FFFE0 addi    a5,zero,2
PC=000003DC [FEF41223] X04=00000000 X08=00500000 X15=00000002 sh      a5,-28(s0/fp)
PC=000003E0 [FE645703] X14=0000FFFE X08=00500000 X06=00000000 lhu     a4,-26(s0/fp)
PC=000003E4 [FE445783] X15=00000002 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=000003E8 [40F707B3] X15=0000FFFC X14=0000FFFE X15=00000002 sub     a5,a4,a5
PC=000003EC [FEF41123] X02=004FFFE0 X08=00500000 X15=0000FFFC sh      a5,-30(s0/fp)
PC=000003F0 [FE041123] X02=004FFFE0 X08=00500000 X00=00000000 sh      zero,-30(s0/fp)
PC=000003F4 [00A00793] X15=0000000A X00=00000000 X10=00000000 addi    a5,zero,10
PC=000003F8 [FEF41323] X06=00000000 X08=00500000 X15=0000000A sh      a5,-26(s0/fp)
PC=000003FC [FFB00793] X15=FFFFFFFB X00=00000000 X27=00000000 addi    a5,zero,-5
PC=00000400 [FEF41223] X04=00000000 X08=00500000 X15=FFFFFFFB sh      a5,-28(s0/fp)
PC=00000404 [FE645703] X14=0000000A X08=00500000 X06=00000000 lhu     a4,-26(s0/fp)
PC=00000408 [FE445783] X15=0000FFFB X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=0000040C [40F707B3] X15=FFFF000F X14=0000000A X15=0000FFFB sub     a5,a4,a5
PC=00000410 [FEF41123] X02=004FFFE0 X08=00500000 X15=FFFF000F sh      a5,-30(s0/fp)
PC=00000414 [FE041123] X02=004FFFE0 X08=00500000 X00=00000000 sh      zero,-30(s0/fp)
PC=00000418 [00500793] X15=00000005 X00=00000000 X05=00000000 addi    a5,zero,5
PC=0000041C [FEF41323] X06=00000000 X08=00500000 X15=00000005 sh      a5,-26(s0/fp)
PC=00000420 [FF600793] X15=FFFFFFF6 X00=00000000 X22=00000000 addi    a5,zero,-10
PC=00000424 [FEF41223] X04=00000000 X08=00500000 X15=FFFFFFF6 sh      a5,-28(s0/fp)
PC=00000428 [FE645703] X14=00000005 X08=00500000 X06=00000000 lhu     a4,-26(s0/fp)
PC=0000042C [FE445783] X15=0000FFF6 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=00000430 [40F707B3] X15=FFFF000F X14=00000005 X15=0000FFF6 sub     a5,a4,a5
PC=00000434 [FEF41123] X02=004FFFE0 X08=00500000 X15=FFFF000F sh      a5,-30(s0/fp)
PC=00000438 [FE041123] X02=004FFFE0 X08=00500000 X00=00000000 sh      zero,-30(s0/fp)
PC=0000043C [000017B7] X15=00001000 X00=00000000 X00=00000000 lui     a5,4096
PC=00000440 [F0F78793] X15=00000F0F X15=00001000 X15=00001000 addi    a5,a5,-241
PC=00000444 [FEF41323] X06=00000000 X08=00500000 X15=00000F0F sh      a5,-26(s0/fp)
PC=00000448 [FFFFF7B7] X15=FFFFF000 X31=00000000 X31=00000000 lui     a5,4294963200
PC=0000044C [0F078793] X15=FFFFF0F0 X15=FFFFF000 X16=00000000 addi    a5,a5,240
PC=00000450 [FEF41223] X04=00000000 X08=00500000 X15=FFFFF0F0 sh      a5,-28(s0/fp)
PC=00000454 [FE645703] X14=00000F0F X08=00500000 X06=00000000 lhu     a4,-26(s0/fp)
PC=00000458 [FE445783] X15=0000F0F0 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=0000045C [40F707B3] X15=FFFF1E1F X14=00000F0F X15=0000F0F0 sub     a5,a4,a5
PC=00000460 [FEF41123] X02=004FFFE0 X08=00500000 X15=FFFF1E1F sh      a5,-30(s0/fp)
PC=00000464 [FE041123] X02=004FFFE0 X08=00500000 X00=00000000 sh      zero,-30(s0/fp)
PC=00000468 [FFFFB7B7] X15=FFFFB000 X31=00000000 X31=00000000 lui     a5,4294946816
PC=0000046C [AAA78793] X15=FFFFAAAA X15=FFFFB000 X10=00000000 addi    a5,a5,-1366
PC=00000470 [FEF41323] X06=00000000 X08=00500000 X15=FFFFAAAA sh      a5,-26(s0/fp)
PC=00000474 [000057B7] X15=00005000 X00=00000000 X00=00000000 lui     a5,20480
PC=00000478 [55578793] X15=00005555 X15=00005000 X21=00000000 addi    a5,a5,1365
PC=0000047C [FEF41223] X04=00000000 X08=00500000 X15=00005555 sh      a5,-28(s0/fp)
PC=00000480 [FE645703] X14=0000AAAA X08=00500000 X06=00000000 lhu     a4,-26(s0/fp)
PC=00000484 [FE445783] X15=00005555 X08=00500000 X04=00000000 lhu     a5,-28(s0/fp)
PC=00000488 [40F707B3] X15=00005555 X14=0000AAAA X15=00005555 sub     a5,a4,a5
PC=0000048C [FEF41123] X02=004FFFE0 X08=00500000 X15=00005555 sh      a5,-30(s0/fp)
PC=00000490 [FE041123] X02=004FFFE0 X08=00500000 X00=00000000 sh      zero,-30(s0/fp)
PC=00000494 [00F00793] X15=0000000F X00=00000000 X15=00005555 addi    a5,zero,15
PC=00000498 [FEF41023] X00=00000000 X08=00500000 X15=0000000F sh      a5,-32(s0/fp)
PC=0000049C [FE045783] X15=0000000F X08=00500000 X00=00000000 lhu     a5,-32(s0/fp)
PC=000004A0 [FFF78793] X15=0000000E X15=0000000F X31=00000000 addi    a5,a5,-1
PC=000004A4 [FEF41023] X00=00000000 X08=00500000 X15=0000000E sh      a5,-32(s0/fp)
PC=000004A8 [FE045783] X15=0000000E X08=00500000 X00=00000000 lhu     a5,-32(s0/fp)
PC=000004AC [FFE78793] X15=0000000C X15=0000000E X30=00000000 addi    a5,a5,-2
PC=000004B0 [FEF41023] X00=00000000 X08=00500000 X15=0000000C sh      a5,-32(s0/fp)
PC=000004B4 [FE045783] X15=0000000C X08=00500000 X00=00000000 lhu     a5,-32(s0/fp)
PC=000004B8 [FFD78793] X15=00000009 X15=0000000C X29=00000000 addi    a5,a5,-3
PC=000004BC [FEF41023] X00=00000000 X08=00500000 X15=00000009 sh      a5,-32(s0/fp)
PC=000004C0 [FE045783] X15=00000009 X08=00500000 X00=00000000 lhu     a5,-32(s0/fp)
PC=000004C4 [FFC78793] X15=00000005 X15=00000009 X28=00000000 addi    a5,a5,-4
PC=000004C8 [FEF41023] X00=00000000 X08=00500000 X15=00000005 sh      a5,-32(s0/fp)
PC=000004CC [FE045783] X15=00000005 X08=00500000 X00=00000000 lhu     a5,-32(s0/fp)
PC=000004D0 [FFB78793] X15=00000000 X15=00000005 X27=00000000 addi    a5,a5,-5
PC=000004D4 [FEF41023] X00=00000000 X08=00500000 X15=00000000 sh      a5,-32(s0/fp)
PC=000004D8 [FE041023] X00=00000000 X08=00500000 X00=00000000 sh      zero,-32(s0/fp)
PC=000004DC [FE041423] X08=00500000 X08=00500000 X00=00000000 sh      zero,-24(s0/fp)
PC=000004E0 [FE845783] X15=00000000 X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=000004E4 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=000004E8 [01079793] X15=00010000 X15=00000001 X16=00000000 slli    a5,a5,16
PC=000004EC [0107D793] X15=00000001 X15=00010000 X16=00000000 srli    a5,a5,16
PC=000004F0 [FEF41423] X08=00500000 X08=00500000 X15=00000001 sh      a5,-24(s0/fp)
PC=000004F4 [FE845783] X15=00000001 X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=000004F8 [00278793] X15=00000003 X15=00000001 X02=004FFFE0 addi    a5,a5,2
PC=000004FC [01079793] X15=00030000 X15=00000003 X16=00000000 slli    a5,a5,16
PC=00000500 [0107D793] X15=00000003 X15=00030000 X16=00000000 srli    a5,a5,16
PC=00000504 [FEF41423] X08=00500000 X08=00500000 X15=00000003 sh      a5,-24(s0/fp)
PC=00000508 [FE845783] X15=00000003 X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=0000050C [00378793] X15=00000006 X15=00000003 X03=00000000 addi    a5,a5,3
PC=00000510 [01079793] X15=00060000 X15=00000006 X16=00000000 slli    a5,a5,16
PC=00000514 [0107D793] X15=00000006 X15=00060000 X16=00000000 srli    a5,a5,16
PC=00000518 [FEF41423] X08=00500000 X08=00500000 X15=00000006 sh      a5,-24(s0/fp)
PC=0000051C [FE845783] X15=00000006 X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=00000520 [00478793] X15=0000000A X15=00000006 X04=00000000 addi    a5,a5,4
PC=00000524 [01079793] X15=000A0000 X15=0000000A X16=00000000 slli    a5,a5,16
PC=00000528 [0107D793] X15=0000000A X15=000A0000 X16=00000000 srli    a5,a5,16
PC=0000052C [FEF41423] X08=00500000 X08=00500000 X15=0000000A sh      a5,-24(s0/fp)
PC=00000530 [FE845783] X15=0000000A X08=00500000 X08=00500000 lhu     a5,-24(s0/fp)
PC=00000534 [00578793] X15=0000000F X15=0000000A X05=00000000 addi    a5,a5,5
PC=00000538 [01079793] X15=000F0000 X15=0000000F X16=00000000 slli    a5,a5,16
PC=0000053C [0107D793] X15=0000000F X15=000F0000 X16=00000000 srli    a5,a5,16
PC=00000540 [FEF41423] X08=00500000 X08=00500000 X15=0000000F sh      a5,-24(s0/fp)
PC=00000544 [FE041423] X08=00500000 X08=00500000 X00=00000000 sh      zero,-24(s0/fp)
PC=00000548 [FE041023] X00=00000000 X08=00500000 X00=00000000 sh      zero,-32(s0/fp)
PC=0000054C [FE045783] X15=00000000 X08=00500000 X00=00000000 lhu     a5,-32(s0/fp)
PC=00000550 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=00000554 [FEF41023] X00=00000000 X08=00500000 X15=00000001 sh      a5,-32(s0/fp)
PC=00000558 [FE045783] X15=00000001 X08=00500000 X00=00000000 lhu     a5,-32(s0/fp)
PC=0000055C [00278793] X15=00000003 X15=00000001 X02=004FFFE0 addi    a5,a5,2
PC=00000560 [FEF41023] X00=00000000 X08=00500000 X15=00000003 sh      a5,-32(s0/fp)
PC=00000564 [FE045783] X15=00000003 X08=00500000 X00=00000000 lhu     a5,-32(s0/fp)
PC=00000568 [00378793] X15=00000006 X15=00000003 X03=00000000 addi    a5,a5,3
PC=0000056C [FEF41023] X00=00000000 X08=00500000 X15=00000006 sh      a5,-32(s0/fp)
PC=00000570 [FE045783] X15=00000006 X08=00500000 X00=00000000 lhu     a5,-32(s0/fp)
PC=00000574 [00478793] X15=0000000A X15=00000006 X04=00000000 addi    a5,a5,4
PC=00000578 [FEF41023] X00=00000000 X08=00500000 X15=0000000A sh      a5,-32(s0/fp)
PC=0000057C [FE045783] X15=0000000A X08=00500000 X00=00000000 lhu     a5,-32(s0/fp)
PC=00000580 [00578793] X15=0000000F X15=0000000A X05=00000000 addi    a5,a5,5
PC=00000584 [FEF41023] X00=00000000 X08=00500000 X15=0000000F sh      a5,-32(s0/fp)
PC=00000588 [FE041023] X00=00000000 X08=00500000 X00=00000000 sh      zero,-32(s0/fp)
PC=0000058C [00000793] X15=00000000 X00=00000000 X00=00000000 addi    a5,zero,0
PC=00000590 [00078513] X10=00000000 X15=00000000 X00=00000000 addi    a0,a5,0
PC=00000594 [01C12403] X08=00000000 X02=004FFFE0 X28=00000000 lw      s0/fp,28(sp)
PC=00000598 [02010113] X02=00500000 X02=004FFFE0 X00=00000000 addi    sp,sp,32
PC=0000059C [00008067] X00=00000000 X01=000001C0 X00=00000000 jalr    zero,ra,0
PC=000001C0 [200002B7] X05=20000000 X00=00000000 X00=00000000 lui     t0,536870912
PC=000001C4 [00100073] X00=00000000 X00=00000000 X01=000001C0 ebreak  
