PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=00000308 [FEF42023] X00=00000000 X08=00500000 X15=00000006 sw      a5,-32(s0/fp)
PC=0000030C [FE042783] X15=00000006 X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=00000310 [00478793] X15=0000000A X15=00000006 X04=00000000 addi    a5,a5,4
PC=00000314 [FEF42023] X00=00000000 X08=00500000 X15=0000000A sw      a5,-32(s0/fp)
PC=00000318 [FE042783] X15=0000000A X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=0000031C [00578793] X15=0000000F X15=0000000A X05=00000000 addi    a5,a5,5
PC=00000320 [FEF42023] X00=00000000 X08=00500000 X15=0000000F sw      a5,-32(s0/fp)
PC=00000324 [FE042023] X00=00000000 X08=00500000 X00=00000000 sw      zero,-32(s0/fp)
PC=00000328 [000107B7] X15=00010000 X02=004FFFD0 X00=00000000 lui     a5,65536
PC=0000032C [FFF78793] X15=0000FFFF X15=00010000 X31=00000000 addi    a5,a5,-1
PC=00000330 [FCF42E23] X28=00000000 X08=00500000 X15=0000FFFF sw      a5,-36(s0/fp)
PC=00000334 [FFFF07B7] X15=FFFF0000 X30=00000000 X31=00000000 lui     a5,4294901760
PC=00000338 [FCF42C23] X24=00000000 X08=00500000 X15=FFFF0000 sw      a5,-40(s0/fp)
PC=0000033C [FDC42703] X14=0000FFFF X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=00000340 [FD842783] X15=FFFF0000 X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=00000344 [00F707B3] X15=FFFFFFFF X14=0000FFFF X15=FFFF0000 add     a5,a4,a5
PC=00000348 [FCF42A23] X20=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-44(s0/fp)
PC=0000034C [FC042A23] X20=00000000 X08=00500000 X00=00000000 sw      zero,-44(s0/fp)
PC=00000350 [FEC00793] X15=FFFFFFEC X00=00000000 X12=00000000 addi    a5,zero,-20
PC=00000354 [FCF42E23] X28=00000000 X08=00500000 X15=FFFFFFEC sw      a5,-36(s0/fp)
PC=00000358 [FE200793] X15=FFFFFFE2 X00=00000000 X02=004FFFD0 addi    a5,zero,-30
PC=0000035C [FCF42C23] X24=00000000 X08=00500000 X15=FFFFFFE2 sw      a5,-40(s0/fp)
PC=00000360 [FDC42703] X14=FFFFFFEC X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=00000364 [FD842783] X15=FFFFFFE2 X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=00000368 [00F707B3] X15=FFFFFFCE X14=FFFFFFEC X15=FFFFFFE2 add     a5,a4,a5
PC=0000036C [FCF42A23] X20=00000000 X08=00500000 X15=FFFFFFCE sw      a5,-44(s0/fp)
PC=00000370 [FC042A23] X20=00000000 X08=00500000 X00=00000000 sw      zero,-44(s0/fp)
PC=00000374 [FFE00793] X15=FFFFFFFE X00=00000000 X30=00000000 addi    a5,zero,-2
PC=00000378 [FCF42E23] X28=00000000 X08=00500000 X15=FFFFFFFE sw      a5,-36(s0/fp)
PC=0000037C [00200793] X15=00000002 X00=00000000 X02=004FFFD0 addi    a5,zero,2
PC=00000380 [FCF42C23] X24=00000000 X08=00500000 X15=00000002 sw      a5,-40(s0/fp)
PC=00000384 [FDC42703] X14=FFFFFFFE X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=00000388 [FD842783] X15=00000002 X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=0000038C [00F707B3] X15=00000000 X14=FFFFFFFE X15=00000002 add     a5,a4,a5
PC=00000390 [FCF42A23] X20=00000000 X08=00500000 X15=00000000 sw      a5,-44(s0/fp)
PC=00000394 [FC042A23] X20=00000000 X08=00500000 X00=00000000 sw      zero,-44(s0/fp)
PC=00000398 [00A00793] X15=0000000A X00=00000000 X10=00000000 addi    a5,zero,10
PC=0000039C [FCF42E23] X28=00000000 X08=00500000 X15=0000000A sw      a5,-36(s0/fp)
PC=000003A0 [FFB00793] X15=FFFFFFFB X00=00000000 X27=00000000 addi    a5,zero,-5
PC=000003A4 [FCF42C23] X24=00000000 X08=00500000 X15=FFFFFFFB sw      a5,-40(s0/fp)
PC=000003A8 [FDC42703] X14=0000000A X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=000003AC [FD842783] X15=FFFFFFFB X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=000003B0 [00F707B3] X15=00000005 X14=0000000A X15=FFFFFFFB add     a5,a4,a5
PC=000003B4 [FCF42A23] X20=00000000 X08=00500000 X15=00000005 sw      a5,-44(s0/fp)
PC=000003B8 [FC042A23] X20=00000000 X08=00500000 X00=00000000 sw      zero,-44(s0/fp)
PC=000003BC [00500793] X15=00000005 X00=00000000 X05=00000000 addi    a5,zero,5
PC=000003C0 [FCF42E23] X28=00000000 X08=00500000 X15=00000005 sw      a5,-36(s0/fp)
PC=000003C4 [FF600793] X15=FFFFFFF6 X00=00000000 X22=00000000 addi    a5,zero,-10
PC=000003C8 [FCF42C23] X24=00000000 X08=00500000 X15=FFFFFFF6 sw      a5,-40(s0/fp)
PC=000003CC [FDC42703] X14=00000005 X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=000003D0 [FD842783] X15=FFFFFFF6 X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=000003D4 [00F707B3] X15=FFFFFFFB X14=00000005 X15=FFFFFFF6 add     a5,a4,a5
PC=000003D8 [FCF42A23] X20=00000000 X08=00500000 X15=FFFFFFFB sw      a5,-44(s0/fp)
PC=000003DC [FC042A23] X20=00000000 X08=00500000 X00=00000000 sw      zero,-44(s0/fp)
PC=000003E0 [0F0F17B7] X15=0F0F1000 X30=00000000 X16=00000000 lui     a5,252645376
PC=000003E4 [F0F78793] X15=0F0F0F0F X15=0F0F1000 X15=0F0F1000 addi    a5,a5,-241
PC=000003E8 [FCF42E23] X28=00000000 X08=00500000 X15=0F0F0F0F sw      a5,-36(s0/fp)
PC=000003EC [F0F0F7B7] X15=F0F0F000 X01=000001C0 X15=0F0F0F0F lui     a5,4042321920
PC=000003F0 [0F078793] X15=F0F0F0F0 X15=F0F0F000 X16=00000000 addi    a5,a5,240
PC=000003F4 [FCF42C23] X24=00000000 X08=00500000 X15=F0F0F0F0 sw      a5,-40(s0/fp)
PC=000003F8 [FDC42703] X14=0F0F0F0F X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=000003FC [FD842783] X15=F0F0F0F0 X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=00000400 [00F707B3] X15=FFFFFFFF X14=0F0F0F0F X15=F0F0F0F0 add     a5,a4,a5
PC=00000404 [FCF42A23] X20=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-44(s0/fp)
PC=00000408 [FC042A23] X20=00000000 X08=00500000 X00=00000000 sw      zero,-44(s0/fp)
PC=0000040C [AAAAB7B7] X15=AAAAB000 X21=00000000 X10=00000000 lui     a5,2863312896
PC=00000410 [AAA78793] X15=AAAAAAAA X15=AAAAB000 X10=00000000 addi    a5,a5,-1366
PC=00000414 [FCF42E23] X28=00000000 X08=00500000 X15=AAAAAAAA sw      a5,-36(s0/fp)
PC=00000418 [555557B7] X15=55555000 X10=00000000 X21=00000000 lui     a5,1431654400
PC=0000041C [55578793] X15=55555555 X15=55555000 X21=00000000 addi    a5,a5,1365
PC=00000420 [FCF42C23] X24=00000000 X08=00500000 X15=55555555 sw      a5,-40(s0/fp)
PC=00000424 [FDC42703] X14=AAAAAAAA X08=00500000 X28=00000000 lw      a4,-36(s0/fp)
PC=00000428 [FD842783] X15=55555555 X08=00500000 X24=00000000 lw      a5,-40(s0/fp)
PC=0000042C [00F707B3] X15=FFFFFFFF X14=AAAAAAAA X15=55555555 add     a5,a4,a5
PC=00000430 [FCF42A23] X20=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-44(s0/fp)
PC=00000434 [FC042A23] X20=00000000 X08=00500000 X00=00000000 sw      zero,-44(s0/fp)
PC=00000438 [FC042823] X16=00000000 X08=00500000 X00=00000000 sw      zero,-48(s0/fp)
PC=0000043C [FD042783] X15=00000000 X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=00000440 [00178793] X15=00000001 X15=00000000 X01=000001C0 addi    a5,a5,1
PC=00000444 [FCF42823] X16=00000000 X08=00500000 X15=00000001 sw      a5,-48(s0/fp)
PC=00000448 [FD042783] X15=00000001 X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=0000044C [00278793] X15=00000003 X15=00000001 X02=004FFFD0 addi    a5,a5,2
PC=00000450 [FCF42823] X16=00000000 X08=00500000 X15=00000003 sw      a5,-48(s0/fp)
PC=00000454 [FD042783] X15=00000003 X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=00000458 [00378793] X15=00000006 X15=00000003 X03=00000000 addi    a5,a5,3
PC=0000045C [FCF42823] X16=00000000 X08=00500000 X15=00000006 sw      a5,-48(s0/fp)
PC=00000460 [FD042783] X15=00000006 X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=00000464 [00478793] X15=0000000A X15=00000006 X04=00000000 addi    a5,a5,4
PC=00000468 [FCF42823] X16=00000000 X08=00500000 X15=0000000A sw      a5,-48(s0/fp)
PC=0000046C [FD042783] X15=0000000A X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=00000470 [00578793] X15=0000000F X15=0000000A X05=00000000 addi    a5,a5,5
PC=00000474 [FCF42823] X16=00000000 X08=00500000 X15=0000000F sw      a5,-48(s0/fp)
PC=00000478 [FC042823] X16=00000000 X08=00500000 X00=00000000 sw      zero,-48(s0/fp)
PC=0000047C [00F00793] X15=0000000F X00=00000000 X15=0000000F addi    a5,zero,15
PC=00000480 [FEF42023] X00=00000000 X08=00500000 X15=0000000F sw      a5,-32(s0/fp)
PC=00000484 [FE042783] X15=0000000F X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=00000488 [FFF78793] X15=0000000E X15=0000000F X31=00000000 addi    a5,a5,-1
PC=0000048C [FEF42023] X00=00000000 X08=00500000 X15=0000000E sw      a5,-32(s0/fp)
PC=00000490 [FE042783] X15=0000000E X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=00000494 [FFE78793] X15=0000000C X15=0000000E X30=00000000 addi    a5,a5,-2
PC=00000498 [FEF42023] X00=00000000 X08=00500000 X15=0000000C sw      a5,-32(s0/fp)
PC=0000049C [FE042783] X15=0000000C X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=000004A0 [FFD78793] X15=00000009 X15=0000000C X29=00000000 addi    a5,a5,-3
PC=000004A4 [FEF42023] X00=00000000 X08=00500000 X15=00000009 sw      a5,-32(s0/fp)
PC=000004A8 [FE042783] X15=00000009 X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=000004AC [FFC78793] X15=00000005 X15=00000009 X28=00000000 addi    a5,a5,-4
PC=000004B0 [FEF42023] X00=00000000 X08=00500000 X15=00000005 sw      a5,-32(s0/fp)
PC=000004B4 [FE042783] X15=00000005 X08=00500000 X00=00000000 lw      a5,-32(s0/fp)
PC=000004B8 [FFB78793] X15=00000000 X15=00000005 X27=00000000 addi    a5,a5,-5
PC=000004BC [FEF42023] X00=00000000 X08=00500000 X15=00000000 sw      a5,-32(s0/fp)
PC=000004C0 [FE042023] X00=00000000 X08=00500000 X00=00000000 sw      zero,-32(s0/fp)
PC=000004C4 [00F00793] X15=0000000F X00=00000000 X15=00000000 addi    a5,zero,15
PC=000004C8 [FCF42823] X16=00000000 X08=00500000 X15=0000000F sw      a5,-48(s0/fp)
PC=000004CC [FD042783] X15=0000000F X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=000004D0 [FFF78793] X15=0000000E X15=0000000F X31=00000000 addi    a5,a5,-1
PC=000004D4 [FCF42823] X16=00000000 X08=00500000 X15=0000000E sw      a5,-48(s0/fp)
PC=000004D8 [FD042783] X15=0000000E X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=000004DC [FFE78793] X15=0000000C X15=0000000E X30=00000000 addi    a5,a5,-2
PC=000004E0 [FCF42823] X16=00000000 X08=00500000 X15=0000000C sw      a5,-48(s0/fp)
PC=000004E4 [FD042783] X15=0000000C X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=000004E8 [FFD78793] X15=00000009 X15=0000000C X29=00000000 addi    a5,a5,-3
PC=000004EC [FCF42823] X16=00000000 X08=00500000 X15=00000009 sw      a5,-48(s0/fp)
PC=000004F0 [FD042783] X15=00000009 X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=000004F4 [FFC78793] X15=00000005 X15=00000009 X28=00000000 addi    a5,a5,-4
PC=000004F8 [FCF42823] X16=00000000 X08=00500000 X15=00000005 sw      a5,-48(s0/fp)
PC=000004FC [FD042783] X15=00000005 X08=00500000 X16=00000000 lw      a5,-48(s0/fp)
PC=00000500 [FFB78793] X15=00000000 X15=00000005 X27=00000000 addi    a5,a5,-5
PC=00000504 [FCF42823] X16=00000000 X08=00500000 X15=00000000 sw      a5,-48(s0/fp)
PC=00000508 [FC042823] X16=00000000 X08=00500000 X00=00000000 sw      zero,-48(s0/fp)
PC=0000050C [00000793] X15=00000000 X00=00000000 X00=00000000 addi    a5,zero,0
PC=00000510 [00078513] X10=00000000 X15=00000000 X00=00000000 addi    a0,a5,0
PC=00000514 [02C12403] X08=00000000 X02=004FFFD0 X12=00000000 lw      s0/fp,44(sp)
PC=00000518 [03010113] X02=00500000 X02=004FFFD0 X16=00000000 addi    sp,sp,48
PC=0000051C [00008067] X00=00000000 X01=000001C0 X00=00000000 jalr    zero,ra,0
PC=000001C0 [200002B7] X05=20000000 X00=00000000 X00=00000000 lui     t0,536870912
PC=000001C4 [00100073] X00=00000000 X00=00000000 X01=000001C0 ebreak  
