PC=000001B8 [00500137] X02=00500000 X00=00000000 X05=00000000 lui     sp,5242880
PC=000001BC [00C000EF] X01=000001C0 X00=00000000 X12=00000000 jal     ra,12
PC=000001C8 [FE010113] X02=004FFFE0 X02=00500000 X00=00000000 addi    sp,sp,-32
PC=000001CC [00812E23] X28=00000000 X02=004FFFE0 X08=00000000 sw      s0/fp,28(sp)
PC=000001D0 [02010413] X08=00500000 X02=004FFFE0 X00=00000000 addi    s0/fp,sp,32
PC=000001D4 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=000001D8 [FEF42623] X12=00000000 X08=00500000 X15=FFFFFFFF sw      a5,-20(s0/fp)
PC=000001DC [FEC42783] X15=FFFFFFFF X08=00500000 X12=00000000 lw      a5,-20(s0/fp)
PC=000001E0 [0017D793] X15=7FFFFFFF X15=FFFFFFFF X01=000001C0 srli    a5,a5,1
PC=000001E4 [FEF42623] X12=00000000 X08=00500000 X15=7FFFFFFF sw      a5,-20(s0/fp)
PC=000001E8 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=000001EC [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=000001F0 [FEC42783] X15=00000000 X08=00500000 X12=00000000 lw      a5,-20(s0/fp)
PC=000001F4 [0017D793] X15=00000000 X15=00000000 X01=000001C0 srli    a5,a5,1
PC=000001F8 [FEF42623] X12=00000000 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=000001FC [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=00000200 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=00000204 [FEF42623] X12=00000000 X08=00500000 X15=00000001 sw      a5,-20(s0/fp)
PC=00000208 [FEC42783] X15=00000001 X08=00500000 X12=00000000 lw      a5,-20(s0/fp)
PC=0000020C [0017D793] X15=00000000 X15=00000001 X01=000001C0 srli    a5,a5,1
PC=00000210 [FEF42623] X12=00000000 X08=00500000 X15=00000000 sw      a5,-20(s0/fp)
PC=00000214 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=00000218 [800007B7] X15=80000000 X00=00000000 X00=00000000 lui     a5,2147483648
PC=0000021C [FEF42623] X12=00000000 X08=00500000 X15=80000000 sw      a5,-20(s0/fp)
PC=00000220 [FEC42783] X15=80000000 X08=00500000 X12=00000000 lw      a5,-20(s0/fp)
PC=00000224 [0017D793] X15=40000000 X15=80000000 X01=000001C0 srli    a5,a5,1
PC=00000228 [FEF42623] X12=00000000 X08=00500000 X15=40000000 sw      a5,-20(s0/fp)
PC=0000022C [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=00000230 [AAAAB7B7] X15=AAAAB000 X21=00000000 X10=00000000 lui     a5,2863312896
PC=00000234 [AAA78793] X15=AAAAAAAA X15=AAAAB000 X10=00000000 addi    a5,a5,-1366
PC=00000238 [FEF42623] X12=00000000 X08=00500000 X15=AAAAAAAA sw      a5,-20(s0/fp)
PC=0000023C [FEC42783] X15=AAAAAAAA X08=00500000 X12=00000000 lw      a5,-20(s0/fp)
PC=00000240 [0017D793] X15=55555555 X15=AAAAAAAA X01=000001C0 srli    a5,a5,1
PC=00000244 [FEF42623] X12=00000000 X08=00500000 X15=55555555 sw      a5,-20(s0/fp)
PC=00000248 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=0000024C [0003C7B7] X15=0003C000 X07=00000000 X00=00000000 lui     a5,245760
PC=00000250 [FEF42623] X12=00000000 X08=00500000 X15=0003C000 sw      a5,-20(s0/fp)
PC=00000254 [FEC42783] X15=0003C000 X08=00500000 X12=00000000 lw      a5,-20(s0/fp)
PC=00000258 [0027D793] X15=0000F000 X15=0003C000 X02=004FFFE0 srli    a5,a5,2
PC=0000025C [FEF42623] X12=00000000 X08=00500000 X15=0000F000 sw      a5,-20(s0/fp)
PC=00000260 [FE042623] X12=00000000 X08=00500000 X00=00000000 sw      zero,-20(s0/fp)
PC=00000264 [FFF00793] X15=FFFFFFFF X00=00000000 X31=00000000 addi    a5,zero,-1
PC=00000268 [FEF42423] X08=00500000 X08=00500000 X15=FFFFFFFF sw      a5,-24(s0/fp)
PC=0000026C [FE842783] X15=FFFFFFFF X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=00000270 [4017D793] X15=FFFFFFFF X15=FFFFFFFF X01=000001C0 srai    a5,a5,1
PC=00000274 [FEF42423] X08=00500000 X08=00500000 X15=FFFFFFFF sw      a5,-24(s0/fp)
PC=00000278 [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=0000027C [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=00000280 [FE842783] X15=00000000 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=00000284 [4017D793] X15=00000000 X15=00000000 X01=000001C0 srai    a5,a5,1
PC=00000288 [FEF42423] X08=00500000 X08=00500000 X15=00000000 sw      a5,-24(s0/fp)
PC=0000028C [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=00000290 [00100793] X15=00000001 X00=00000000 X01=000001C0 addi    a5,zero,1
PC=00000294 [FEF42423] X08=00500000 X08=00500000 X15=00000001 sw      a5,-24(s0/fp)
PC=00000298 [FE842783] X15=00000001 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=0000029C [4017D793] X15=00000000 X15=00000001 X01=000001C0 srai    a5,a5,1
PC=000002A0 [FEF42423] X08=00500000 X08=00500000 X15=00000000 sw      a5,-24(s0/fp)
PC=000002A4 [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=000002A8 [800007B7] X15=80000000 X00=00000000 X00=00000000 lui     a5,2147483648
PC=000002AC [FEF42423] X08=00500000 X08=00500000 X15=80000000 sw      a5,-24(s0/fp)
PC=000002B0 [FE842783] X15=80000000 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=000002B4 [4017D793] X15=C0000000 X15=80000000 X01=000001C0 srai    a5,a5,1
PC=000002B8 [FEF42423] X08=00500000 X08=00500000 X15=C0000000 sw      a5,-24(s0/fp)
PC=000002BC [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=000002C0 [AAAAB7B7] X15=AAAAB000 X21=00000000 X10=00000000 lui     a5,2863312896
PC=000002C4 [AAA78793] X15=AAAAAAAA X15=AAAAB000 X10=00000000 addi    a5,a5,-1366
PC=000002C8 [FEF42423] X08=00500000 X08=00500000 X15=AAAAAAAA sw      a5,-24(s0/fp)
PC=000002CC [FE842783] X15=AAAAAAAA X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
PC=000002D0 [4017D793] X15=D5555555 X15=AAAAAAAA X01=000001C0 srai    a5,a5,1
PC=000002D4 [FEF42423] X08=00500000 X08=00500000 X15=D5555555 sw      a5,-24(s0/fp)
PC=000002D8 [FE042423] X08=00500000 X08=00500000 X00=00000000 sw      zero,-24(s0/fp)
PC=000002DC [0003C7B7] X15=0003C000 X07=00000000 X00=00000000 lui     a5,245760
PC=000002E0 [FEF42423] X08=00500000 X08=00500000 X15=0003C000 sw      a5,-24(s0/fp)
PC=000002E4 [FE842783] X15=0003C000 X08=00500000 X08=00500000 lw      a5,-24(s0/fp)
