valid,1

"SPEC CPU2017 Integer Rate Result"

"Full Results Table"

Benchmark,"Base # Copies","Base Run Time","Base Rate","Base Selected","Base Status","Peak # Copies","Peak Run Time","Peak Rate","Peak Selected","Peak Status",Description
500.perlbench_r,5,538.8425057,14.7724055,1,S,,,,,,"refrate(ref) iteration #1"
500.perlbench_r,5,537.8618753,14.7993385,0,S,,,,,,"refrate(ref) iteration #2"
502.gcc_r,5,410.9611614,17.2279055,1,S,,,,,,"refrate(ref) iteration #1"
502.gcc_r,5,410.4472284,17.249477,0,S,,,,,,"refrate(ref) iteration #2"
505.mcf_r,5,516.9361153,15.630558,0,S,,,,,,"refrate(ref) iteration #1"
505.mcf_r,5,518.2407374,15.5912095,1,S,,,,,,"refrate(ref) iteration #2"
520.omnetpp_r,5,840.0319707,7.8092265,1,S,,,,,,"refrate(ref) iteration #1"
520.omnetpp_r,5,835.7448232,7.849286,0,S,,,,,,"refrate(ref) iteration #2"
523.xalancbmk_r,5,389.1071417,13.5695275,0,S,,,,,,"refrate(ref) iteration #1"
523.xalancbmk_r,5,390.857877,13.5087465,1,S,,,,,,"refrate(ref) iteration #2"
525.x264_r,5,257.7521577,33.966738,1,S,,,,,,"refrate(ref) iteration #1"
525.x264_r,5,256.8391235,34.087486,0,S,,,,,,"refrate(ref) iteration #2"
531.deepsjeng_r,5,407.7586548,14.05243,1,S,,,,,,"refrate(ref) iteration #1"
531.deepsjeng_r,5,407.2546747,14.06982,0,S,,,,,,"refrate(ref) iteration #2"
541.leela_r,5,658.631474,12.571522,1,S,,,,,,"refrate(ref) iteration #1"
541.leela_r,5,657.5502138,12.592194,0,S,,,,,,"refrate(ref) iteration #2"
548.exchange2_r,5,430.289999,30.444584,0,S,,,,,,"refrate(ref) iteration #1"
548.exchange2_r,5,430.7100966,30.4148895,1,S,,,,,,"refrate(ref) iteration #2"
557.xz_r,5,474.5600867,11.3789595,1,S,,,,,,"refrate(ref) iteration #1"
557.xz_r,5,474.0076673,11.392221,0,S,,,,,,"refrate(ref) iteration #2"

"Selected Results Table"

Benchmark,"Base # Copies","Base Run Time","Base Rate","Base Selected","Base Status","Peak # Copies","Peak Run Time","Peak Rate","Peak Selected","Peak Status",Description
500.perlbench_r,5,538.8425057,14.7724055,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
502.gcc_r,5,410.9611614,17.2279055,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
505.mcf_r,5,518.2407374,15.5912095,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
520.omnetpp_r,5,840.0319707,7.8092265,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
523.xalancbmk_r,5,390.857877,13.5087465,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
525.x264_r,5,257.7521577,33.966738,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
531.deepsjeng_r,5,407.7586548,14.05243,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
541.leela_r,5,658.631474,12.571522,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
548.exchange2_r,5,430.7100966,30.4148895,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
557.xz_r,5,474.5600867,11.3789595,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"

SPECrate2017_int_base,15.6284839,,15.6284839
SPECrate2017_int_peak,"Not Run",,,,,,,"Not Run"

"Run number:",059
"runcpu command:","C:\cpu2017\bin\harness\runcpu -c teste1-VisualStudio-windows.cfg --reportable --iterations=2 --copies=5 intrate"
"output root:","not used"

"Hardware Vendor:","My Corporation"
"Hardware Model:","C62 LIV"
"Date tested:",May-2023
"CPU2017 License:","nnn (Your SPEC license number)"
"Test sponsor:","My Corporation"
"Tested by:","My Corporation"
"Hardware avail:",
"Software avail:",


HARDWARE

"CPU Name","Intel Core i7-10750H"
"  Max MHz"," "
"  Nominal"," "
Enabled,"6 cores, 1 chip, 2 threads/core"
Orderable," "
"Cache L1"," "
"  L2"," "
"  L3"," "
"  Other"," "
Memory,"16 GB (2 x 8 GB nRxn PCn-2667T) ** fixme **"
," "
," "
Storage," "
Other," "

SOFTWARE

OS,"Microsoft Windows 11 Home Single Language (64-bit)"
,"Build 10.0.22621"
Compiler,"C/C++: Version 19.21.27702.2 of Microsoft"
,"Visual Studio 2019"
Parallel,No
Firmware," "
"File System"," "
"System State"," "
"Base Pointers",64-bit
"Peak Pointers","Not Applicable"
Other," "
"Power Management",--

"Platform Notes"


" Sysinfo program C:/cpu2017/bin/sysinfo"
" Rev: r6365 of 2019-08-21 295195f888a3d7edb1e6e46a485a0011"
" running on DESKTOP-0GTK0NB Sat May 27 00:00:16 2023"

" SUT (System Under Test) info as seen by some common utilities."
" For more information on this section, see"
"    https://www.spec.org/cpu2017/Docs/config.html#sysinfo"

" System"
" ...wmic computersystem, wmic bios"
" Manufacturer  : Avell High Performance"
" Model         : C62 LIV"
" BIOS          : American Megatrends Inc. N.1.02, 07/17/2020"

" OS"
" ...wmic os"
" Caption       : Microsoft Windows 11 Home Single Language"
" OSArchitecture: 64-bit"
" Version       : 10.0.22621"

" CPU"
" ...wmic cpu"
" Name          : Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz"
"               : (1 chip)"
" L2CacheSize   : 1536"
" L3CacheSize   : 12288"
" MaxClockSpeed : 2592"
" NumberOfCores : 6"
" NumberOfLogicalProcessors: 12"

" Memory"
" ...wmic memorychip"
"    2 x 04CB AM1P26KC8T1-BAAS 8 GB (8589934592) at 2667"
" Total Memory  : 16 GB"

" Disks"
" ...wmic diskdrive"
" IM2P33F8BR2-512GB 476 GB"

" (End of data from sysinfo program)"

"Compiler Version Notes"

==============================================================================
"C       | 502.gcc_r(base)"
------------------------------------------------------------------------------
"Microsoft (R) C/C++ Optimizing Compiler Versão 19.29.30148 para x64"
